,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
0,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(c1nnc(o1)[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1nc(nc(n1)[H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7be47f9b44a0>,7.33942,,True,True,False,
1,C(Oc1c(c(c(N(C(c2c(c(c(c(Cl)c2[H])[H])[H])[H])([H])[H])C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47ecaa3e0>,6.56019,,True,True,False,
2,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2([N+]([H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47f427420>,6.9409,,True,True,False,
3,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(c1c(c(nnc1[H])[H])[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1c(c(nc(n1)[H])[H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7be47faee610>,7.36355,,True,True,False,
4,C([C@]1(c2c(c(sc2C(C(N1C(=O)C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47e8063e0>,5.58233,,True,True,False,
5,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C#N)([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7be47f0c9e00>,0.0,,True,False,False,
6,C(C(C(=O)[N@+]1(C(C(C(c2c(N(C(c3c(c(c(c(Cl)c3[H])[H])[H])[H])([H])[H])C(=O)C(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])([H])[H])c(c(c(c12)[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47ef7f0b0>,6.71556,,True,True,False,
7,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7be47f5fbec0>,4.98535,,True,True,False,
8,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C(=O)N(C(c1c(c(nn1C([H])([H])[H])[H])[H])([H])[H])[H])([H])[H])C(=O)c1c(c(c(c(c21)[H])[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47f5fad40>,6.47111,,True,True,False,
9,C(c1c(c(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(F)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])on1)[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be4fc17dfd0>,6.96641,,True,True,False,
10,C([C@]1(C([N+](C(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])(C([C@](C([H])([H])[H])(O1)[H])([H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47d0d8c70>,7.40223,,True,True,False,
11,C(Oc1c(c(c(c(c1[C@@]1(C([C@](C([H])([H])[H])(C(C(N1C(=O)C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be4fc1d1530>,5.97487,,True,True,False,
12,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C([C@](C(F)([H])[H])(C2(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])C1([H])[H])[H])([H])[H],<fegrow.package.RMol object at 0x7be47ed4cf40>,5.75233,,True,True,False,
13,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(C(C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be4dc424180>,7.41816,,True,True,False,
14,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C([N@@+]1(C([C@@]3(C([C@]1(C(O3)([H])[H])[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47fa31580>,7.26849,,True,True,False,
15,C([C@]1(C([N@+](C(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([C@@](C([H])([H])[H])(C(O1)([H])[H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47d0d9940>,7.45983,,True,True,False,
16,C([C@]1(C([C@](c2c(c(c(c(c2[H])[H])[H])[H])[H])(N(C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])C1([H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47eaeb3d0>,5.68988,,True,True,False,
17,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1nnc(n1C([H])([H])[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47fad1a80>,7.00591,,True,True,False,
18,C([C@]1(C(C([C@@]2(C(C(N(C(=O)C(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])([H])[H])C2([H])[H])([H])[H])([H])[H])C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47fa33240>,5.69284,,True,True,False,
19,O=C(C([N@+]1(C(c2c(c(c(Cl)c(c2[C@](C(=O)N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])[H])(C1([H])[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])N(C(C(c1c(c(c(C(F)(F)[H])c(c1[H])[H])[H])[H])([H])[H])([H])[H])[H],<fegrow.package.RMol object at 0x7be47f8e74c0>,6.01004,,True,True,False,
20,C(C(C(=O)N1C(C(C(c2c(c(c(N(C(=O)C(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])([H])[H])N(C([H])([H])[H])c3c(c(c(c(Cl)c3[H])[H])[H])[H])c(c12)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47faeb100>,7.03255,,True,True,False,
21,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(nn(C([H])([H])[H])c1[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7be47d8027a0>,0.0,,True,False,False,
22,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(c2c(Cl)c(c(c(c2C1([H])[H])[H])[H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7be47ed4c4a0>,5.44701,,True,True,False,
23,C([C@]1(C([N@@+](C(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])(C(C(O1)([H])[H])([H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be4fc18dee0>,6.89027,,True,True,False,
24,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(C(OC2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47e156d90>,7.10883,,True,True,False,
25,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2c(nn(C([H])([H])[H])c2[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be4dc429bc0>,7.56741,,True,True,False,
26,O=C1N([C@]2(C([C@](c3c(c(c(c(c3Cl)[H])[H])[H])[H])(C2([H])[H])[H])([H])[H])C(=O)N1c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7be4dc4269d0>,5.78417,,True,True,False,
27,C(C([C@]1(C([C@@](C(F)(F)F)(C(C(N1C(=O)C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be49c4b4d60>,5.75173,,True,True,False,
28,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(F)C(OC2([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be49c4b4d10>,6.71367,,True,True,False,
29,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2nc(nc(n2)[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47fa32610>,7.36038,,True,True,False,
30,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(c2c(c(c(c(c2[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47f1933d0>,7.79057,,True,True,False,
31,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(c1nnc(o1)[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1c(c(nc(n1)[H])[H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7be4fc17c450>,7.63351,,True,True,False,
32,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C([N@+]1(C(C(OC(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47fad00e0>,6.84793,,True,True,False,
33,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(C([C@@]1(c1c(c(c(c(F)c1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7be47fad0220>,5.67392,,True,True,False,
34,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(nn(C([H])([H])[H])n1)[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7be47cfcd1c0>,0.0,,True,False,False,
35,N#CC(c1c(c(c(N(C(c2c(c(c(c(Cl)c2[H])[H])[H])[H])([H])[H])C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H])([H])[H],<fegrow.package.RMol object at 0x7be47e1f22a0>,6.93792,,True,True,False,
36,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(c(n(C([H])([H])[H])n1)[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47fad31a0>,6.95712,,True,True,False,
37,N#Cc1c(c(c(N(C(c2c(c(c(c(Cl)c2[H])[H])[H])[H])([H])[H])C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H],<fegrow.package.RMol object at 0x7be47fa609a0>,6.52199,,True,True,False,
38,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(C(S(=O)(=O)C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be47fad3740>,7.52283,,True,True,False,
39,C(C(O[C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C(=O)N(C([H])([H])[H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7be4fc17fc40>,7.13728,,True,True,False,
