docked_file,ligand_RMSD_A,pocket_RMSD_A
complex-MERS-mol0.pdb,1.8192266113419284,2.033184289932251
complex-MERS-mol1.pdb,4.922904880928196,1.9064116477966309
complex-MERS-mol10.pdb,1.1600721506599676,1.991334319114685
complex-MERS-mol11.pdb,3.9971251007978936,2.4181337356567383
complex-MERS-mol12.pdb,5.172054850347199,1.7646979093551636
complex-MERS-mol13.pdb,2.8149880386770274,1.73734450340271
complex-MERS-mol14.pdb,1.1601861453628433,2.271627902984619
complex-MERS-mol15.pdb,1.4076678548129469,2.2311015129089355
complex-MERS-mol16.pdb,2.704965338040397,2.2897489070892334
complex-MERS-mol17.pdb,1.8597166758099781,2.096186399459839
complex-MERS-mol18.pdb,4.361103262554862,1.815228819847107
complex-MERS-mol19.pdb,4.28051867214291,2.321035146713257
complex-MERS-mol2.pdb,4.770911805362309,2.1209278106689453
complex-MERS-mol21.pdb,1.3022539690859074,2.1396262645721436
complex-MERS-mol22.pdb,3.8957793293939704,2.332153797149658
complex-MERS-mol23.pdb,1.1863546368284337,1.971378207206726
complex-MERS-mol24.pdb,1.5531840725290402,1.9409056901931763
complex-MERS-mol25.pdb,2.1313761751506934,2.204209089279175
complex-MERS-mol26.pdb,3.317949310889127,0.0
complex-MERS-mol27.pdb,3.7114877771589114,2.280545949935913
complex-MERS-mol28.pdb,2.9070474183108352,1.4725993871688843
complex-MERS-mol29.pdb,1.3608479351360692,2.2166318893432617
complex-MERS-mol3.pdb,1.948485822375929,2.031839370727539
complex-MERS-mol30.pdb,1.1916213582923318,1.761156439781189
complex-MERS-mol32.pdb,1.78562556486368,1.9638928174972534
complex-MERS-mol33.pdb,2.519493885684186,2.1006946563720703
complex-MERS-mol34.pdb,1.016937784302883,2.060508966445923
complex-MERS-mol35.pdb,6.741917335212492,1.9111477136611938
complex-MERS-mol36.pdb,1.1108082900045608,2.0958752632141113
complex-MERS-mol37.pdb,4.88838707550865,1.9382942914962769
complex-MERS-mol38.pdb,3.003694233772805,2.0732083320617676
complex-MERS-mol39.pdb,2.3282335732113673,1.9319372177124023
complex-MERS-mol4.pdb,1.4112351974808082,2.025355577468872
complex-MERS-mol40.pdb,2.3674010041152127,2.1195287704467773
complex-MERS-mol42.pdb,2.3487759690169643,2.041168451309204
complex-MERS-mol43.pdb,2.060043911344287,1.9812372922897339
complex-MERS-mol44.pdb,4.718164691786789,2.1077351570129395
complex-MERS-mol45.pdb,2.714709776648062,2.028604507446289
complex-MERS-mol46.pdb,5.15402312199948,2.036912679672241
complex-MERS-mol47.pdb,1.0296702914481457,2.2157833576202393
complex-MERS-mol48.pdb,3.0142589391724384,1.9162975549697876
complex-MERS-mol49.pdb,4.068832449241428,2.13454532623291
complex-MERS-mol5.pdb,4.2889989959309585,2.0076711177825928
complex-MERS-mol50.pdb,2.7809553459851952,2.151839256286621
complex-MERS-mol51.pdb,2.158020720144139,2.143505573272705
complex-MERS-mol52.pdb,6.22966346603089,2.1248176097869873
complex-MERS-mol53.pdb,2.8661513353751453,2.1629204750061035
complex-MERS-mol54.pdb,1.5522360081508222,1.9255424737930298
complex-MERS-mol55.pdb,0.9476358508849024,1.983351469039917
complex-MERS-mol56.pdb,1.9279108079300071,1.837742567062378
complex-MERS-mol57.pdb,2.4688973449700176,1.8714054822921753
complex-MERS-mol58.pdb,1.370704969818711,2.142554521560669
