ligand_filename,RMSD
rec_14_mol0.sdf,1.3938
rec_16_mol1.sdf,2.5269
rec_19_mol2.sdf,0.5352
rec_5_mol3.sdf,1.4738
rec_16_mol4.sdf,0.7226
rec_12_mol5.sdf,1.1003
rec_1_mol6.sdf,2.8701
rec_4_mol7.sdf,0.9913
rec_19_mol8.sdf,1.8268
rec_2_mol9.sdf,0.7021
rec_19_mol10.sdf,0.7060
rec_6_mol11.sdf,3.3781
rec_15_mol12.sdf,3.0502
rec_16_mol13.sdf,1.2505
rec_15_mol14.sdf,0.4671
rec_5_mol15.sdf,0.8857
rec_11_mol16.sdf,2.8942
rec_12_mol17.sdf,1.2419
rec_19_mol18.sdf,3.4663
rec_16_mol19.sdf,3.3621
rec_5_mol20.sdf,3.7290
rec_12_mol21.sdf,0.6454
rec_12_mol22.sdf,0.8146
rec_11_mol23.sdf,1.2111
rec_12_mol24.sdf,1.4297
rec_11_mol25.sdf,1.6034
rec_15_mol26.sdf,2.9891
rec_7_mol27.sdf,3.8196
rec_11_mol28.sdf,1.0765
rec_19_mol29.sdf,0.8739
rec_11_mol30.sdf,0.9149
rec_20_mol31.sdf,1.1201
rec_19_mol32.sdf,1.2408
rec_7_mol33.sdf,2.3629
rec_2_mol34.sdf,0.8329
rec_16_mol35.sdf,2.5503
rec_15_mol36.sdf,1.0942
rec_16_mol37.sdf,2.6693
rec_1_mol38.sdf,1.7131
rec_7_mol39.sdf,1.5556
rec_11_mol40.sdf,1.5373
rec_12_mol41.sdf,0.9044
rec_2_mol42.sdf,0.6030
rec_2_mol43.sdf,1.3608
rec_20_mol44.sdf,2.0436
rec_1_mol45.sdf,1.3140
rec_20_mol46.sdf,1.9156
rec_19_mol47.sdf,0.5636
rec_15_mol48.sdf,1.5348
rec_4_mol49.sdf,1.1966
rec_19_mol50.sdf,1.2224
rec_19_mol51.sdf,1.5857
rec_19_mol52.sdf,0.6859
rec_2_mol53.sdf,1.5520
rec_12_mol54.sdf,1.2991
rec_2_mol55.sdf,0.8843
rec_12_mol56.sdf,1.3127
rec_15_mol57.sdf,1.2710
rec_5_mol58.sdf,0.8284
rec_19_mol59.sdf,1.0976
rec_2_mol60.sdf,1.4839
rec_11_mol61.sdf,1.2197
rec_4_mol62.sdf,0.7242
rec_2_mol63.sdf,0.9048
rec_15_mol64.sdf,0.6393
rec_6_mol65.sdf,3.6274
rec_15_mol66.sdf,0.9791
rec_12_mol67.sdf,2.3265
rec_1_mol68.sdf,2.2256
rec_19_mol69.sdf,2.7649
rec_12_mol70.sdf,0.6871
rec_12_mol71.sdf,1.3616
rec_14_mol72.sdf,1.3188
rec_15_mol73.sdf,0.7958
rec_12_mol74.sdf,0.6211
rec_19_mol75.sdf,2.9134
rec_12_mol76.sdf,0.6294
rec_15_mol77.sdf,1.9097
rec_14_mol79.sdf,0.7184
rec_19_mol80.sdf,1.2103
rec_12_mol81.sdf,0.8703
rec_11_mol82.sdf,0.4909
rec_12_mol83.sdf,1.0383
rec_11_mol84.sdf,0.6554
rec_19_mol85.sdf,0.6697
rec_19_mol86.sdf,0.8470
rec_19_mol87.sdf,0.6456
rec_2_mol88.sdf,2.3878
rec_5_mol89.sdf,1.0092
rec_19_mol90.sdf,0.7257
rec_12_mol91.sdf,0.6331
rec_5_mol92.sdf,1.5993
rec_19_mol93.sdf,0.5330
rec_2_mol94.sdf,1.4900
rec_11_mol95.sdf,1.8277
rec_5_mol96.sdf,1.4211
