mol_id,ligand,receptor,score
mol0,rec_5_mol0.sdf,rec_final_5-noH.pdb,29.6362
mol0,rec_16_mol0.sdf,rec_final_16-noH.pdb,27.6372
mol0,rec_6_mol0.sdf,rec_final_6-noH.pdb,27.1888
mol0,rec_20_mol0.sdf,rec_final_20-noH.pdb,26.3126
mol0,rec_9_mol0.sdf,rec_final_9-noH.pdb,26.1339
mol0,rec_11_mol0.sdf,rec_final_11-noH.pdb,25.1219
mol0,rec_1_mol0.sdf,rec_final_1-noH.pdb,24.9099
mol0,rec_4_mol0.sdf,rec_final_4-noH.pdb,24.0787
mol0,rec_19_mol0.sdf,rec_final_19-noH.pdb,24.0269
mol0,rec_7_mol0.sdf,rec_final_7-noH.pdb,23.9473
mol0,rec_14_mol0.sdf,rec_final_14-noH.pdb,23.6553
mol0,rec_18_mol0.sdf,rec_final_18-noH.pdb,22.9444
mol0,rec_2_mol0.sdf,rec_final_2-noH.pdb,22.8499
mol0,rec_15_mol0.sdf,rec_final_15-noH.pdb,22.2794
mol0,rec_12_mol0.sdf,rec_final_12-noH.pdb,21.8362
mol1,rec_14_mol1.sdf,rec_final_14-noH.pdb,21.8326
mol1,rec_20_mol1.sdf,rec_final_20-noH.pdb,21.4706
mol1,rec_5_mol1.sdf,rec_final_5-noH.pdb,21.3093
mol1,rec_2_mol1.sdf,rec_final_2-noH.pdb,19.7379
mol1,rec_16_mol1.sdf,rec_final_16-noH.pdb,19.4695
mol1,rec_9_mol1.sdf,rec_final_9-noH.pdb,18.9045
mol1,rec_15_mol1.sdf,rec_final_15-noH.pdb,18.7115
mol1,rec_13_mol1.sdf,rec_final_13-noH.pdb,18.5032
mol1,rec_12_mol1.sdf,rec_final_12-noH.pdb,18.3735
mol1,rec_18_mol1.sdf,rec_final_18-noH.pdb,18.0980
mol1,rec_6_mol1.sdf,rec_final_6-noH.pdb,17.8864
mol1,rec_11_mol1.sdf,rec_final_11-noH.pdb,17.7409
mol1,rec_7_mol1.sdf,rec_final_7-noH.pdb,17.4711
mol1,rec_19_mol1.sdf,rec_final_19-noH.pdb,17.3922
mol1,rec_4_mol1.sdf,rec_final_4-noH.pdb,15.3267
mol1,rec_1_mol1.sdf,rec_final_1-noH.pdb,13.5790
mol2,rec_14_mol2.sdf,rec_final_14-noH.pdb,25.5393
mol2,rec_9_mol2.sdf,rec_final_9-noH.pdb,24.7146
mol2,rec_12_mol2.sdf,rec_final_12-noH.pdb,23.6123
mol2,rec_5_mol2.sdf,rec_final_5-noH.pdb,23.1669
mol2,rec_11_mol2.sdf,rec_final_11-noH.pdb,19.5892
mol2,rec_20_mol2.sdf,rec_final_20-noH.pdb,19.5343
mol2,rec_19_mol2.sdf,rec_final_19-noH.pdb,18.3055
mol2,rec_15_mol2.sdf,rec_final_15-noH.pdb,17.9615
mol2,rec_2_mol2.sdf,rec_final_2-noH.pdb,17.7407
mol2,rec_1_mol2.sdf,rec_final_1-noH.pdb,16.7968
mol2,rec_6_mol2.sdf,rec_final_6-noH.pdb,16.7567
mol2,rec_18_mol2.sdf,rec_final_18-noH.pdb,16.1160
mol2,rec_7_mol2.sdf,rec_final_7-noH.pdb,16.0514
mol2,rec_16_mol2.sdf,rec_final_16-noH.pdb,15.9393
mol2,rec_4_mol2.sdf,rec_final_4-noH.pdb,14.4284
mol3,rec_20_mol3.sdf,rec_final_20-noH.pdb,29.7012
mol3,rec_5_mol3.sdf,rec_final_5-noH.pdb,28.4203
mol3,rec_16_mol3.sdf,rec_final_16-noH.pdb,26.1230
mol3,rec_15_mol3.sdf,rec_final_15-noH.pdb,25.9075
mol3,rec_2_mol3.sdf,rec_final_2-noH.pdb,25.5167
mol3,rec_19_mol3.sdf,rec_final_19-noH.pdb,25.2403
mol3,rec_11_mol3.sdf,rec_final_11-noH.pdb,24.9353
mol3,rec_14_mol3.sdf,rec_final_14-noH.pdb,24.7538
mol3,rec_4_mol3.sdf,rec_final_4-noH.pdb,24.2026
mol3,rec_6_mol3.sdf,rec_final_6-noH.pdb,23.6839
mol3,rec_12_mol3.sdf,rec_final_12-noH.pdb,23.4083
mol3,rec_18_mol3.sdf,rec_final_18-noH.pdb,23.1034
mol3,rec_13_mol3.sdf,rec_final_13-noH.pdb,22.4105
mol3,rec_7_mol3.sdf,rec_final_7-noH.pdb,20.7383
mol3,rec_1_mol3.sdf,rec_final_1-noH.pdb,20.6510
mol4,rec_16_mol4.sdf,rec_final_16-noH.pdb,18.2605
mol4,rec_2_mol4.sdf,rec_final_2-noH.pdb,17.9769
mol4,rec_12_mol4.sdf,rec_final_12-noH.pdb,17.6276
mol4,rec_11_mol4.sdf,rec_final_11-noH.pdb,17.5989
mol4,rec_5_mol4.sdf,rec_final_5-noH.pdb,17.2134
mol4,rec_4_mol4.sdf,rec_final_4-noH.pdb,16.9939
mol4,rec_18_mol4.sdf,rec_final_18-noH.pdb,16.9467
mol4,rec_13_mol4.sdf,rec_final_13-noH.pdb,16.6215
mol4,rec_20_mol4.sdf,rec_final_20-noH.pdb,16.1827
mol4,rec_19_mol4.sdf,rec_final_19-noH.pdb,15.6976
mol4,rec_7_mol4.sdf,rec_final_7-noH.pdb,15.6027
mol4,rec_9_mol4.sdf,rec_final_9-noH.pdb,15.2017
mol4,rec_14_mol4.sdf,rec_final_14-noH.pdb,14.5059
mol4,rec_6_mol4.sdf,rec_final_6-noH.pdb,13.7218
mol4,rec_15_mol4.sdf,rec_final_15-noH.pdb,12.7253
mol5,rec_14_mol5.sdf,rec_final_14-noH.pdb,25.1725
mol5,rec_19_mol5.sdf,rec_final_19-noH.pdb,20.4928
mol5,rec_2_mol5.sdf,rec_final_2-noH.pdb,20.3452
mol5,rec_18_mol5.sdf,rec_final_18-noH.pdb,20.2675
mol5,rec_12_mol5.sdf,rec_final_12-noH.pdb,20.1509
mol5,rec_15_mol5.sdf,rec_final_15-noH.pdb,19.3311
mol5,rec_6_mol5.sdf,rec_final_6-noH.pdb,19.0326
mol5,rec_4_mol5.sdf,rec_final_4-noH.pdb,18.6953
mol5,rec_5_mol5.sdf,rec_final_5-noH.pdb,18.3836
mol5,rec_9_mol5.sdf,rec_final_9-noH.pdb,17.5135
mol5,rec_7_mol5.sdf,rec_final_7-noH.pdb,17.3982
mol5,rec_16_mol5.sdf,rec_final_16-noH.pdb,17.3304
mol5,rec_1_mol5.sdf,rec_final_1-noH.pdb,16.8582
mol5,rec_11_mol5.sdf,rec_final_11-noH.pdb,16.6417
mol5,rec_13_mol5.sdf,rec_final_13-noH.pdb,16.0242
mol6,rec_12_mol6.sdf,rec_final_12-noH.pdb,26.0124
mol6,rec_18_mol6.sdf,rec_final_18-noH.pdb,22.8037
mol6,rec_13_mol6.sdf,rec_final_13-noH.pdb,22.5226
mol6,rec_5_mol6.sdf,rec_final_5-noH.pdb,21.8290
mol6,rec_2_mol6.sdf,rec_final_2-noH.pdb,21.2282
mol6,rec_11_mol6.sdf,rec_final_11-noH.pdb,20.9035
mol6,rec_20_mol6.sdf,rec_final_20-noH.pdb,20.1742
mol6,rec_9_mol6.sdf,rec_final_9-noH.pdb,19.5121
mol6,rec_4_mol6.sdf,rec_final_4-noH.pdb,19.5007
mol6,rec_14_mol6.sdf,rec_final_14-noH.pdb,19.2233
mol6,rec_7_mol6.sdf,rec_final_7-noH.pdb,19.1649
mol6,rec_16_mol6.sdf,rec_final_16-noH.pdb,18.9968
mol6,rec_6_mol6.sdf,rec_final_6-noH.pdb,17.9762
mol6,rec_15_mol6.sdf,rec_final_15-noH.pdb,17.9578
mol6,rec_19_mol6.sdf,rec_final_19-noH.pdb,16.5881
mol6,rec_1_mol6.sdf,rec_final_1-noH.pdb,12.7839
mol7,rec_6_mol7.sdf,rec_final_6-noH.pdb,15.3855
mol7,rec_4_mol7.sdf,rec_final_4-noH.pdb,14.5495
mol7,rec_5_mol7.sdf,rec_final_5-noH.pdb,13.6473
mol7,rec_11_mol7.sdf,rec_final_11-noH.pdb,12.7469
mol7,rec_18_mol7.sdf,rec_final_18-noH.pdb,12.6666
mol7,rec_13_mol7.sdf,rec_final_13-noH.pdb,12.5690
mol7,rec_20_mol7.sdf,rec_final_20-noH.pdb,11.6127
mol7,rec_9_mol7.sdf,rec_final_9-noH.pdb,11.0660
mol7,rec_19_mol7.sdf,rec_final_19-noH.pdb,10.6624
mol7,rec_16_mol7.sdf,rec_final_16-noH.pdb,10.5729
mol7,rec_2_mol7.sdf,rec_final_2-noH.pdb,9.9430
mol7,rec_14_mol7.sdf,rec_final_14-noH.pdb,9.8111
mol7,rec_12_mol7.sdf,rec_final_12-noH.pdb,9.3793
mol7,rec_15_mol7.sdf,rec_final_15-noH.pdb,8.9156
mol7,rec_7_mol7.sdf,rec_final_7-noH.pdb,8.8143
mol8,rec_6_mol8.sdf,rec_final_6-noH.pdb,25.0466
mol8,rec_13_mol8.sdf,rec_final_13-noH.pdb,25.0016
mol8,rec_15_mol8.sdf,rec_final_15-noH.pdb,23.3811
mol8,rec_16_mol8.sdf,rec_final_16-noH.pdb,22.3316
mol8,rec_19_mol8.sdf,rec_final_19-noH.pdb,21.8706
mol8,rec_11_mol8.sdf,rec_final_11-noH.pdb,21.5927
mol8,rec_5_mol8.sdf,rec_final_5-noH.pdb,21.3862
mol8,rec_14_mol8.sdf,rec_final_14-noH.pdb,20.6258
mol8,rec_20_mol8.sdf,rec_final_20-noH.pdb,20.3856
mol8,rec_12_mol8.sdf,rec_final_12-noH.pdb,20.2897
mol8,rec_4_mol8.sdf,rec_final_4-noH.pdb,19.0177
mol8,rec_7_mol8.sdf,rec_final_7-noH.pdb,17.7026
mol8,rec_1_mol8.sdf,rec_final_1-noH.pdb,17.3087
mol8,rec_2_mol8.sdf,rec_final_2-noH.pdb,16.8115
mol9,rec_16_mol9.sdf,rec_final_16-noH.pdb,22.9243
mol9,rec_5_mol9.sdf,rec_final_5-noH.pdb,22.8968
mol9,rec_20_mol9.sdf,rec_final_20-noH.pdb,22.6269
mol9,rec_4_mol9.sdf,rec_final_4-noH.pdb,21.7792
mol9,rec_2_mol9.sdf,rec_final_2-noH.pdb,21.3422
mol9,rec_12_mol9.sdf,rec_final_12-noH.pdb,21.3402
mol9,rec_18_mol9.sdf,rec_final_18-noH.pdb,20.8944
mol9,rec_15_mol9.sdf,rec_final_15-noH.pdb,20.8506
mol9,rec_6_mol9.sdf,rec_final_6-noH.pdb,20.7479
mol9,rec_1_mol9.sdf,rec_final_1-noH.pdb,20.7201
mol9,rec_19_mol9.sdf,rec_final_19-noH.pdb,20.5991
mol9,rec_11_mol9.sdf,rec_final_11-noH.pdb,19.0383
mol9,rec_14_mol9.sdf,rec_final_14-noH.pdb,18.6683
mol9,rec_7_mol9.sdf,rec_final_7-noH.pdb,17.8007
mol10,rec_20_mol10.sdf,rec_final_20-noH.pdb,22.7757
mol10,rec_16_mol10.sdf,rec_final_16-noH.pdb,22.6399
mol10,rec_5_mol10.sdf,rec_final_5-noH.pdb,21.6910
mol10,rec_12_mol10.sdf,rec_final_12-noH.pdb,21.3661
mol10,rec_18_mol10.sdf,rec_final_18-noH.pdb,20.9208
mol10,rec_2_mol10.sdf,rec_final_2-noH.pdb,20.4909
mol10,rec_4_mol10.sdf,rec_final_4-noH.pdb,20.2402
