N,Iteration,Molecule,RMSD
1,0,mol0,6.253898575990859
1,0,mol1,4.774320008650446
1,0,mol2,0.5641161343467345
1,0,mol3,2.6378040099222506
1,0,mol4,3.353647153538187
1,0,mol5,5.299458660363644
1,0,mol6,5.494793845263391
1,0,mol7,1.1180614593313307
1,0,mol8,4.1598750003677045
1,0,mol9,2.8753572497542437
1,0,mol10,0.8748567630129368
1,0,mol11,4.121977980247209
1,0,mol12,3.7228566169564825
1,0,mol13,6.432601395359342
1,0,mol14,1.2923492234707328
1,0,mol15,0.8923107744266539
1,0,mol16,3.3001269030144886
1,0,mol17,1.260757047174435
1,0,mol18,4.744541087221538
1,0,mol19,9.842897735058537
1,0,mol20,3.9460465590875238
1,0,mol21,1.0505606601103186
1,0,mol22,4.718270369708233
1,0,mol23,1.3066917555621351
1,0,mol24,1.4473536729966323
1,0,mol25,1.5890632176694544
1,0,mol26,3.9997851243674467
1,0,mol27,4.030495607242365
1,0,mol28,1.156937809644328
1,0,mol29,0.9598393894760432
1,0,mol30,2.703172227312352
1,0,mol31,1.1523195050450707
1,0,mol32,7.239267916643738
1,0,mol33,3.363351061842936
1,0,mol34,1.003223712552974
1,0,mol35,4.933827594893141
1,0,mol36,1.094310408039171
1,0,mol37,5.0045719535574005
1,0,mol38,2.598438829374284
1,0,mol39,1.7123761925631709
1,0,mol40,5.402255370623326
1,0,mol41,0.9044011810672241
1,0,mol42,0.8095107811121741
1,0,mol43,2.1077815349714655
1,0,mol44,2.4733818502918106
1,0,mol45,5.608505536466148
1,0,mol46,5.043470955914972
1,0,mol47,0.6266116486164443
1,0,mol48,3.2923620325434038
1,0,mol49,3.6989941804911903
1,0,mol50,3.5191685051624444
1,0,mol51,1.6416149816132715
1,0,mol52,2.0886564897081565
1,0,mol53,1.7088445158405086
1,0,mol54,1.9705444425335854
1,0,mol55,0.909581859815752
1,0,mol56,4.5877459009027515
1,0,mol57,2.4041208019253113
1,0,mol58,1.1816389305899302
1,0,mol59,3.3563200930400616
1,0,mol60,3.316991422824441
1,0,mol61,1.8248897794313965
1,0,mol62,2.733720676641038
1,0,mol63,5.295056601874886
1,0,mol64,0.9848986113921688
1,0,mol65,3.6314400423491047
1,0,mol66,5.262636346319209
1,0,mol67,5.734122773408877
1,0,mol68,2.2860286734859656
1,0,mol69,3.417335346159067
1,0,mol70,6.67397872307067
1,0,mol71,2.257342581380657
1,0,mol72,1.6603105228306607
1,0,mol73,0.7955995712747086
1,0,mol74,0.6929280654032782
1,0,mol75,4.816595911748584
1,0,mol76,0.6293934371979726
1,0,mol77,6.455705937033884
1,0,mol79,3.1277752163478754
1,0,mol80,6.184304572914519
1,0,mol81,6.336389226793804
1,0,mol82,0.5014784776332998
1,0,mol83,1.185044081569609
1,0,mol84,5.709990179125905
1,0,mol85,5.978949434006928
1,0,mol86,0.8470199625746732
1,0,mol87,0.6455235504693273
1,0,mol88,2.861207393207358
1,0,mol89,1.7830444371916254
1,0,mol90,6.546030001616157
