N,Iteration,Molecule,RMSD
1,0,mol0,6.2795324557004335
1,0,mol1,4.94880276683159
1,0,mol2,5.962369408086423
1,0,mol3,2.0103709843613213
1,0,mol4,2.164215476895677
1,0,mol5,5.104782670423695
1,0,mol6,4.5722344357302775
1,0,mol7,3.956366377252318
1,0,mol8,3.809761076601717
1,0,mol9,2.875357249754244
1,0,mol10,4.982048683761372
1,0,mol11,3.436440734196191
1,0,mol12,3.2690448373722254
1,0,mol13,6.425251927561408
1,0,mol14,0.4670809834869487
1,0,mol15,0.8994408685692635
1,0,mol16,3.3035154814227834
1,0,mol17,1.2607450384594026
1,0,mol18,4.749128339671046
1,0,mol19,10.010838444214045
1,0,mol20,6.0733318339611095
1,0,mol21,2.665472217182432
1,0,mol22,1.19470296447834
1,0,mol23,1.424353571064925
1,0,mol24,1.4431587128678245
1,0,mol25,2.508709993153853
1,0,mol26,3.9984693984073454
1,0,mol27,4.376638273378324
1,0,mol28,1.8823021469221388
1,0,mol29,2.170411103029527
1,0,mol30,0.9369419396126571
1,0,mol31,2.5508642921232147
1,0,mol32,1.66345281378349
1,0,mol33,3.3634863420564085
1,0,mol34,0.8489116361553776
1,0,mol35,2.550308169993478
1,0,mol36,1.1049375421262506
1,0,mol37,5.008291012411319
1,0,mol38,6.201108767793063
1,0,mol39,1.5793532697187886
1,0,mol40,5.418305147579426
1,0,mol41,2.0342731901357944
1,0,mol42,2.615989193905736
1,0,mol43,1.415563633033382
1,0,mol44,2.141888818927597
1,0,mol45,2.1282372930264546
1,0,mol46,5.042015349879555
1,0,mol47,5.9853225016778255
1,0,mol48,3.7515679199629632
1,0,mol49,3.5335320585564456
1,0,mol50,3.2794667324956133
1,0,mol51,2.151933990678639
1,0,mol52,6.443596500945726
1,0,mol53,1.7098812444808185
1,0,mol54,3.059888694054083
1,0,mol55,5.3204183681969095
1,0,mol56,1.3127948276799897
1,0,mol57,3.021233538680848
1,0,mol58,3.960198784621081
1,0,mol59,2.357267646202555
1,0,mol60,3.8938032458346847
1,0,mol61,2.785955968477011
1,0,mol62,2.023665824555449
1,0,mol63,5.3264204263496975
1,0,mol64,7.020494871149278
1,0,mol65,3.6314157568121455
1,0,mol66,1.0124429868392588
1,0,mol67,2.687627926257651
1,0,mol68,2.273311012346781
1,0,mol69,4.246069350937755
1,0,mol70,6.520102119840061
1,0,mol71,6.067820369174703
1,0,mol72,1.8309077299404133
1,0,mol73,1.0933039388991972
1,0,mol74,3.5971753736132204
1,0,mol75,2.954698090557049
1,0,mol76,0.8460060437494558
1,0,mol77,2.652065261549035
1,0,mol79,2.8138451066112364
1,0,mol80,6.043941504798715
1,0,mol81,0.8702667829054328
1,0,mol82,0.64772905918883
1,0,mol83,1.236170130302715
1,0,mol84,6.2116018067576
1,0,mol85,5.978949434006928
1,0,mol86,0.919767110196924
1,0,mol87,1.3839071487335377
1,0,mol88,4.059169985935822
1,0,mol89,3.404340923732522
1,0,mol90,6.587787797017252
1,0,mol91,5.9655457016545785
1,0,mol92,3.89143042856613
1,0,mol93,5.773371916339273
1,0,mol94,5.917390847582704
1,0,mol95,1.991481835539067
1,0,mol96,4.330644811635498
1,1,mol0,1.3937743487974852
1,1,mol1,4.713584515525313
1,1,mol2,5.331562417056533
1,1,mol3,2.5961552194222395
1,1,mol4,2.980391563857516
1,1,mol5,1.1003184477466574
1,1,mol6,4.5722344357302775
1,1,mol7,1.1180603672149556
1,1,mol8,6.776265561172046
1,1,mol9,0.7496046153997264
1,1,mol10,1.5362002655218732
1,1,mol11,3.436550645788802
1,1,mol12,3.698610358240421
1,1,mol13,1.7786764212691828
1,1,mol14,1.1672779801628117
1,1,mol15,0.8881170425770408
1,1,mol16,3.4920917616809564
1,1,mol17,6.312457385247955
1,1,mol18,3.466311798824028
1,1,mol19,9.844599608857536
1,1,mol20,5.999127279592987
1,1,mol21,0.6454043144749321
1,1,mol22,1.167364052755894
1,1,mol23,1.584627076343542
1,1,mol24,1.480583667626421
1,1,mol25,2.4519747082198866
1,1,mol26,2.9891335838085005
1,1,mol27,4.098727706984206
1,1,mol28,1.9030365635087736
1,1,mol29,6.169594342085826
1,1,mol30,1.0161388095414967
1,1,mol31,1.194157777600966
1,1,mol32,1.657439601344575
1,1,mol33,3.3634863420564085
1,1,mol34,0.8489776879114249
1,1,mol35,4.9302643056154505
1,1,mol36,6.83055885021758
1,1,mol37,2.669324048955715
1,1,mol38,2.936079566360557
1,1,mol39,5.6515180283581445
1,1,mol40,5.411241394752752
1,1,mol41,2.1142039976511757
1,1,mol42,5.6147357166561935
1,1,mol43,6.190543620829183
1,1,mol44,2.141888818927597
1,1,mol45,5.601068357121064
1,1,mol46,5.476816460413169
1,1,mol47,5.922775785103305
1,1,mol48,1.78877264146597
1,1,mol49,4.140618700657037
1,1,mol50,3.2794667324956133
1,1,mol51,6.716804603824083
1,1,mol52,3.1528101626961305
1,1,mol53,1.708815726873173
1,1,mol54,3.059888694054083
1,1,mol55,0.9150650576357304
1,1,mol56,2.1911951650298063
1,1,mol57,2.492839206657742
1,1,mol58,6.76200964650514
1,1,mol59,3.362080053949737
1,1,mol60,3.1714034588949587
1,1,mol61,3.1476037536513384
1,1,mol62,1.6542441956819338
1,1,mol63,5.171415849421419
1,1,mol64,1.2916653794617243
1,1,mol65,3.6273933201161865
1,1,mol66,5.274969715325388
1,1,mol67,2.687627926257651
1,1,mol68,3.1803267611093946
1,1,mol69,2.7649284762754567
1,1,mol70,6.668513742013926
1,1,mol71,1.361617579414803
1,1,mol72,5.005033400265954
1,1,mol73,0.8419783639218412
1,1,mol74,5.9645744040518585
1,1,mol75,5.93472475343418
1,1,mol76,6.028050840961125
1,1,mol77,2.7545516524582734
1,1,mol79,2.8138451066112364
1,1,mol80,6.043941504798715
1,1,mol81,6.0921893089665
1,1,mol82,0.4909133073100765
1,1,mol83,7.324178252200038
1,1,mol84,5.68213546225612
1,1,mol85,6.029413480328307
1,1,mol86,1.3713249002333474
1,1,mol87,6.264371438330298
1,1,mol88,3.284025035810984
1,1,mol89,1.009364039878576
1,1,mol90,6.520037190416307
1,1,mol91,3.575628755198168
1,1,mol92,3.915300065460193
1,1,mol93,5.51681122258366
1,1,mol94,6.074228548982807
1,1,mol95,5.836005998024193
1,1,mol96,1.479550024654302
1,2,mol0,6.246669617952726
1,2,mol1,4.938509573916676
1,2,mol2,0.5518392121448115
1,2,mol3,2.152288896677653
1,2,mol4,0.7226006744963701
1,2,mol5,5.104782670423695
1,2,mol6,2.8701264561281383
1,2,mol7,2.3604878098660698
1,2,mol8,2.786358231162752
1,2,mol9,0.9280490809065158
1,2,mol10,0.8539922919657074
1,2,mol11,3.436395043968939
1,2,mol12,3.698610358240421
1,2,mol13,1.7786764212691828
1,2,mol14,0.4670809834869487
1,2,mol15,1.687522627450635
1,2,mol16,2.8942264237616246
1,2,mol17,1.7188306242492728
1,2,mol18,4.748463118385428
1,2,mol19,9.84659397559666
1,2,mol20,4.727146843956122
1,2,mol21,1.0529534126175086
1,2,mol22,3.7489721922592776
1,2,mol23,1.4901250440002536
1,2,mol24,1.4431587128678245
1,2,mol25,2.508709993153853
1,2,mol26,4.081232846189349
1,2,mol27,4.030495607242365
1,2,mol28,1.1128624851118087
1,2,mol29,5.999696751503363
1,2,mol30,1.262856969894159
1,2,mol31,2.5508642921232147
1,2,mol32,7.0394894110970405
1,2,mol33,2.3628681328419496
1,2,mol34,4.099366724646973
1,2,mol35,4.933827594893141
1,2,mol36,1.1322563568884412
1,2,mol37,2.669324048955715
1,2,mol38,6.500774692680865
1,2,mol39,1.5793532697187886
1,2,mol40,1.6538302843486
1,2,mol41,0.9559459941253012
1,2,mol42,6.313838215797357
1,2,mol43,2.1078454321494577
1,2,mol44,2.186919884960419
1,2,mol45,5.527089590475521
1,2,mol46,2.1693259950112567
1,2,mol47,0.5741041564248099
1,2,mol48,1.5348091430905295
1,2,mol49,4.140618700657037
1,2,mol50,1.836407170264808
1,2,mol51,6.657191132276934
1,2,mol52,6.51133372451451
1,2,mol53,4.418614432380975
1,2,mol54,6.214654902727906
1,2,mol55,5.199003822651141
1,2,mol56,2.1911951650298063
1,2,mol57,2.488061472361565
1,2,mol58,3.950886937963604
1,2,mol59,2.502808876542514
1,2,mol60,3.1714034588949587
1,2,mol61,2.283718767605196
1,2,mol62,2.7337487941421537
1,2,mol63,5.171415849421419
1,2,mol64,6.949190465023006
1,2,mol65,3.671423020157332
1,2,mol66,4.480773395029033
1,2,mol67,3.630816446026546
1,2,mol68,2.273311012346781
1,2,mol69,5.381920531115565
1,2,mol70,6.335022541531663
1,2,mol71,1.6100256425642063
1,2,mol72,1.8309077299404133
1,2,mol73,0.7958429510980795
1,2,mol74,6.250906037692362
