N,mean,lower_95CI,upper_95CI
1,41.78388656410922,31.95876288659794,51.54639175257732
2,58.45784433544389,48.45360824742268,68.04123711340206
3,62.59961693638441,52.63157894736842,72.16494845360825
4,67.7951335482639,58.333333333333336,76.84210526315789
5,71.93857235024407,62.88659793814433,80.41237113402062
6,72.9554396074656,63.91752577319588,81.44329896907216
7,72.9554396074656,63.91752577319588,81.44329896907216
8,75.04470147735893,65.97938144329896,83.33333333333333
9,76.07389866315216,67.6998355263158,84.375
10,77.11934344034836,68.75,85.26315789473684
11,77.11934344034836,68.75,85.26315789473684
12,77.11934344034836,68.75,85.26315789473684
13,77.11934344034836,68.75,85.26315789473684
14,78.15004875171728,69.79166666666667,86.3157894736842
15,78.15004875171728,69.79166666666667,86.3157894736842
16,78.15004875171728,69.79166666666667,86.3157894736842
17,79.1948971097639,70.83333333333333,86.5979381443299
18,79.1948971097639,70.83333333333333,86.5979381443299
19,79.1948971097639,70.83333333333333,86.5979381443299
20,79.1948971097639,70.83333333333333,86.5979381443299
