N,mean,lower_95CI,upper_95CI
1,53.101865665724304,43.29896907216495,62.88659793814433
2,55.19343012005612,45.36082474226804,64.94845360824742
3,63.546718722416564,53.6823114487249,72.91666666666667
4,65.61738300675188,56.25,75.0
5,67.69432627885733,58.333333333333336,76.84210526315789
6,68.7384264433499,59.375,77.89473684210526
7,71.86218575410011,62.765957446808514,80.41237113402062
8,74.99747403544502,65.97938144329896,83.33333333333333
9,76.0533129282222,67.01030927835052,84.375
10,76.0533129282222,67.01030927835052,84.375
11,77.09786561717418,68.42105263157895,85.26315789473684
12,78.16483638222118,69.47368421052632,86.3157894736842
13,79.20852730256932,70.83333333333333,87.23740201567745
14,79.20852730256932,70.83333333333333,87.23740201567745
15,79.20852730256932,70.83333333333333,87.23740201567745
16,79.20852730256932,70.83333333333333,87.23740201567745
17,79.20852730256932,70.83333333333333,87.23740201567745
18,79.20852730256932,70.83333333333333,87.23740201567745
19,79.20852730256932,70.83333333333333,87.23740201567745
20,79.20852730256932,70.83333333333333,87.23740201567745
