N,mean,lower_95CI,upper_95CI
1,33.87560567354156,24.724605353466032,43.29896907216495
2,51.33749804876411,41.23711340206186,61.458333333333336
3,61.188922361295646,51.06382978723404,70.83333333333333
4,67.08349104254307,57.291666666666664,76.28865979381443
5,70.87344799534853,61.458333333333336,80.0
6,73.30514293750706,64.21052631578948,82.10526315789474
7,74.9518414815235,65.97938144329896,83.33333333333333
8,76.13295482781994,67.36842105263158,84.5360824742268
9,77.00505921393035,68.42105263157895,85.41666666666667
10,77.63297724686288,69.0721649484536,85.56701030927834
11,78.11477149085115,69.47368421052632,86.3157894736842
12,78.44814808395866,69.79166666666667,86.45833333333333
13,78.71376100074234,70.10309278350516,86.5979381443299
14,78.90095237263496,70.2127659574468,86.5979381443299
15,79.02932015874956,70.52631578947368,86.5979381443299
16,79.09111870993716,70.52631578947368,86.5979381443299
17,79.15079174476743,70.83333333333333,86.95652173913044
18,79.15079174476743,70.83333333333333,86.95652173913044
19,79.15079174476743,70.83333333333333,86.95652173913044
20,79.15079174476743,70.83333333333333,86.95652173913044
