ligand_filename,RMSD
rec_20_mol0.sdf,0.7507
rec_10_mol1.sdf,1.5268
rec_7_mol2.sdf,2.6100
rec_11_mol3.sdf,0.8017
rec_7_mol4.sdf,1.6479
rec_14_mol5.sdf,0.9729
rec_17_mol6.sdf,0.7827
rec_15_mol7.sdf,0.8833
rec_6_mol8.sdf,0.6833
rec_10_mol9.sdf,1.4947
rec_20_mol10.sdf,0.7050
rec_10_mol11.sdf,1.9924
rec_7_mol12.sdf,1.4092
rec_3_mol13.sdf,1.2908
rec_6_mol14.sdf,1.1154
rec_6_mol15.sdf,0.6451
rec_19_mol16.sdf,0.5084
rec_6_mol17.sdf,1.4942
rec_10_mol18.sdf,0.8999
rec_7_mol19.sdf,1.3901
rec_8_mol20.sdf,0.6920
rec_11_mol21.sdf,1.1311
rec_6_mol23.sdf,0.8066
rec_3_mol24.sdf,2.7281
rec_8_mol25.sdf,8.7168
rec_6_mol26.sdf,0.8720
rec_6_mol27.sdf,0.6864
rec_13_mol28.sdf,0.9645
rec_12_mol29.sdf,0.8988
rec_12_mol30.sdf,1.1770
rec_3_mol31.sdf,1.1501
rec_11_mol32.sdf,1.1908
rec_12_mol34.sdf,0.7398
rec_5_mol35.sdf,3.3830
rec_11_mol36.sdf,2.1604
rec_6_mol37.sdf,0.6543
rec_7_mol38.sdf,3.0769
rec_9_mol39.sdf,0.8260
rec_10_mol40.sdf,0.7912
rec_16_mol41.sdf,1.4999
rec_12_mol43.sdf,1.0334
rec_10_mol44.sdf,0.8020
rec_8_mol45.sdf,0.7195
rec_3_mol46.sdf,1.0763
rec_11_mol48.sdf,0.6226
rec_6_mol49.sdf,0.6927
rec_16_mol50.sdf,0.6956
rec_9_mol51.sdf,1.7943
rec_3_mol52.sdf,1.9063
rec_6_mol53.sdf,0.6236
rec_2_mol54.sdf,1.3931
rec_6_mol55.sdf,0.8577
rec_20_mol56.sdf,1.9867
rec_7_mol57.sdf,1.5482
rec_9_mol58.sdf,3.5199
rec_18_mol59.sdf,0.7808
rec_18_mol60.sdf,1.0407
rec_10_mol61.sdf,0.7854
rec_2_mol62.sdf,0.6585
rec_19_mol63.sdf,0.5878
rec_6_mol64.sdf,0.6081
rec_19_mol65.sdf,0.8031
rec_2_mol66.sdf,0.7341
rec_2_mol67.sdf,0.9117
rec_5_mol68.sdf,1.9007
rec_7_mol69.sdf,1.6873
rec_10_mol70.sdf,1.1649
rec_11_mol71.sdf,0.9684
rec_14_mol72.sdf,0.9280
rec_10_mol73.sdf,0.8872
rec_8_mol74.sdf,1.1479
rec_4_mol75.sdf,1.1841
rec_15_mol76.sdf,0.7314
rec_6_mol77.sdf,0.7056
rec_19_mol78.sdf,0.6099
rec_2_mol79.sdf,1.0360
rec_2_mol80.sdf,0.6882
rec_11_mol81.sdf,0.7122
rec_6_mol82.sdf,3.3437
rec_13_mol83.sdf,1.0899
rec_11_mol84.sdf,0.6932
rec_6_mol85.sdf,1.0360
rec_10_mol86.sdf,1.7387
rec_6_mol87.sdf,0.8547
rec_11_mol88.sdf,0.7900
rec_10_mol89.sdf,0.6608
rec_4_mol90.sdf,0.6678
rec_6_mol91.sdf,0.8624
rec_20_mol92.sdf,0.7008
rec_18_mol93.sdf,1.0209
rec_20_mol95.sdf,0.7821
rec_8_mol96.sdf,0.7733
rec_9_mol97.sdf,0.9510
