mol_id,ligand,receptor,score
mol0,rec_20_mol0.sdf,rec_final_20-noH.pdb,25.6656
mol0,rec_6_mol0.sdf,rec_final_6-noH.pdb,25.6485
mol0,rec_16_mol0.sdf,rec_final_16-noH.pdb,25.6471
mol0,rec_17_mol0.sdf,rec_final_17-noH.pdb,25.5678
mol0,rec_2_mol0.sdf,rec_final_2-noH.pdb,25.3446
mol0,rec_9_mol0.sdf,rec_final_9-noH.pdb,25.0322
mol0,rec_13_mol0.sdf,rec_final_13-noH.pdb,24.7454
mol0,rec_19_mol0.sdf,rec_final_19-noH.pdb,24.7449
mol0,rec_3_mol0.sdf,rec_final_3-noH.pdb,24.5376
mol0,rec_7_mol0.sdf,rec_final_7-noH.pdb,24.4956
mol0,rec_8_mol0.sdf,rec_final_8-noH.pdb,24.3179
mol0,rec_14_mol0.sdf,rec_final_14-noH.pdb,23.9055
mol0,rec_15_mol0.sdf,rec_final_15-noH.pdb,23.2160
mol0,rec_11_mol0.sdf,rec_final_11-noH.pdb,23.2015
mol0,rec_18_mol0.sdf,rec_final_18-noH.pdb,23.0507
mol0,rec_10_mol0.sdf,rec_final_10-noH.pdb,22.4788
mol0,rec_12_mol0.sdf,rec_final_12-noH.pdb,22.0708
mol0,rec_5_mol0.sdf,rec_final_5-noH.pdb,22.0133
mol0,rec_4_mol0.sdf,rec_final_4-noH.pdb,20.5358
mol0,rec_1_mol0.sdf,rec_final_1-noH.pdb,19.5466
mol1,rec_17_mol1.sdf,rec_final_17-noH.pdb,26.1684
mol1,rec_20_mol1.sdf,rec_final_20-noH.pdb,25.6441
mol1,rec_19_mol1.sdf,rec_final_19-noH.pdb,25.2822
mol1,rec_8_mol1.sdf,rec_final_8-noH.pdb,25.0581
mol1,rec_2_mol1.sdf,rec_final_2-noH.pdb,24.9333
mol1,rec_13_mol1.sdf,rec_final_13-noH.pdb,24.8005
mol1,rec_11_mol1.sdf,rec_final_11-noH.pdb,24.3205
mol1,rec_7_mol1.sdf,rec_final_7-noH.pdb,24.2658
mol1,rec_12_mol1.sdf,rec_final_12-noH.pdb,24.1469
mol1,rec_6_mol1.sdf,rec_final_6-noH.pdb,23.8910
mol1,rec_18_mol1.sdf,rec_final_18-noH.pdb,23.7013
mol1,rec_16_mol1.sdf,rec_final_16-noH.pdb,23.6565
mol1,rec_3_mol1.sdf,rec_final_3-noH.pdb,23.5401
mol1,rec_14_mol1.sdf,rec_final_14-noH.pdb,23.2656
mol1,rec_9_mol1.sdf,rec_final_9-noH.pdb,23.0412
mol1,rec_5_mol1.sdf,rec_final_5-noH.pdb,22.9680
mol1,rec_1_mol1.sdf,rec_final_1-noH.pdb,22.5690
mol1,rec_4_mol1.sdf,rec_final_4-noH.pdb,22.1859
mol1,rec_15_mol1.sdf,rec_final_15-noH.pdb,21.7783
mol1,rec_10_mol1.sdf,rec_final_10-noH.pdb,19.5826
mol2,rec_20_mol2.sdf,rec_final_20-noH.pdb,22.8912
mol2,rec_3_mol2.sdf,rec_final_3-noH.pdb,22.5697
mol2,rec_17_mol2.sdf,rec_final_17-noH.pdb,22.5504
mol2,rec_6_mol2.sdf,rec_final_6-noH.pdb,22.1127
mol2,rec_7_mol2.sdf,rec_final_7-noH.pdb,21.9552
mol2,rec_14_mol2.sdf,rec_final_14-noH.pdb,21.1779
mol2,rec_13_mol2.sdf,rec_final_13-noH.pdb,21.0170
mol2,rec_2_mol2.sdf,rec_final_2-noH.pdb,20.9805
mol2,rec_8_mol2.sdf,rec_final_8-noH.pdb,20.6426
mol2,rec_19_mol2.sdf,rec_final_19-noH.pdb,20.6410
mol2,rec_10_mol2.sdf,rec_final_10-noH.pdb,20.3904
mol2,rec_18_mol2.sdf,rec_final_18-noH.pdb,19.9013
mol2,rec_5_mol2.sdf,rec_final_5-noH.pdb,19.8989
mol2,rec_11_mol2.sdf,rec_final_11-noH.pdb,19.7639
mol2,rec_16_mol2.sdf,rec_final_16-noH.pdb,19.7175
mol2,rec_9_mol2.sdf,rec_final_9-noH.pdb,19.6396
mol2,rec_15_mol2.sdf,rec_final_15-noH.pdb,19.4481
mol2,rec_12_mol2.sdf,rec_final_12-noH.pdb,19.2360
mol2,rec_4_mol2.sdf,rec_final_4-noH.pdb,18.9849
mol2,rec_1_mol2.sdf,rec_final_1-noH.pdb,15.0194
mol3,rec_20_mol3.sdf,rec_final_20-noH.pdb,23.7368
mol3,rec_19_mol3.sdf,rec_final_19-noH.pdb,23.6522
mol3,rec_3_mol3.sdf,rec_final_3-noH.pdb,23.2610
mol3,rec_17_mol3.sdf,rec_final_17-noH.pdb,22.9864
mol3,rec_7_mol3.sdf,rec_final_7-noH.pdb,22.7926
mol3,rec_14_mol3.sdf,rec_final_14-noH.pdb,22.6733
mol3,rec_18_mol3.sdf,rec_final_18-noH.pdb,22.6509
mol3,rec_6_mol3.sdf,rec_final_6-noH.pdb,22.6089
mol3,rec_2_mol3.sdf,rec_final_2-noH.pdb,22.3696
mol3,rec_8_mol3.sdf,rec_final_8-noH.pdb,22.0346
mol3,rec_1_mol3.sdf,rec_final_1-noH.pdb,21.7398
mol3,rec_9_mol3.sdf,rec_final_9-noH.pdb,21.6594
mol3,rec_12_mol3.sdf,rec_final_12-noH.pdb,21.6255
mol3,rec_11_mol3.sdf,rec_final_11-noH.pdb,21.3563
mol3,rec_13_mol3.sdf,rec_final_13-noH.pdb,21.3499
mol3,rec_15_mol3.sdf,rec_final_15-noH.pdb,21.2338
mol3,rec_16_mol3.sdf,rec_final_16-noH.pdb,20.9095
mol3,rec_4_mol3.sdf,rec_final_4-noH.pdb,19.1199
mol3,rec_5_mol3.sdf,rec_final_5-noH.pdb,18.2950
mol3,rec_10_mol3.sdf,rec_final_10-noH.pdb,17.5510
mol4,rec_3_mol4.sdf,rec_final_3-noH.pdb,22.2282
mol4,rec_20_mol4.sdf,rec_final_20-noH.pdb,21.3199
mol4,rec_7_mol4.sdf,rec_final_7-noH.pdb,21.0004
mol4,rec_14_mol4.sdf,rec_final_14-noH.pdb,20.5751
mol4,rec_19_mol4.sdf,rec_final_19-noH.pdb,20.2774
mol4,rec_9_mol4.sdf,rec_final_9-noH.pdb,19.9651
mol4,rec_8_mol4.sdf,rec_final_8-noH.pdb,19.8606
mol4,rec_16_mol4.sdf,rec_final_16-noH.pdb,19.7922
mol4,rec_13_mol4.sdf,rec_final_13-noH.pdb,19.7533
mol4,rec_2_mol4.sdf,rec_final_2-noH.pdb,19.5878
mol4,rec_17_mol4.sdf,rec_final_17-noH.pdb,19.3322
mol4,rec_18_mol4.sdf,rec_final_18-noH.pdb,19.1254
mol4,rec_10_mol4.sdf,rec_final_10-noH.pdb,19.0485
mol4,rec_6_mol4.sdf,rec_final_6-noH.pdb,18.9315
mol4,rec_4_mol4.sdf,rec_final_4-noH.pdb,18.7009
mol4,rec_5_mol4.sdf,rec_final_5-noH.pdb,18.3692
mol4,rec_15_mol4.sdf,rec_final_15-noH.pdb,18.0924
mol4,rec_1_mol4.sdf,rec_final_1-noH.pdb,17.7986
mol4,rec_11_mol4.sdf,rec_final_11-noH.pdb,16.5437
mol4,rec_12_mol4.sdf,rec_final_12-noH.pdb,15.9816
mol5,rec_20_mol5.sdf,rec_final_20-noH.pdb,23.5931
mol5,rec_3_mol5.sdf,rec_final_3-noH.pdb,23.5080
mol5,rec_6_mol5.sdf,rec_final_6-noH.pdb,23.4543
mol5,rec_14_mol5.sdf,rec_final_14-noH.pdb,22.1181
mol5,rec_7_mol5.sdf,rec_final_7-noH.pdb,21.7251
mol5,rec_2_mol5.sdf,rec_final_2-noH.pdb,21.6427
mol5,rec_13_mol5.sdf,rec_final_13-noH.pdb,21.2234
mol5,rec_9_mol5.sdf,rec_final_9-noH.pdb,20.9948
mol5,rec_1_mol5.sdf,rec_final_1-noH.pdb,20.8566
mol5,rec_11_mol5.sdf,rec_final_11-noH.pdb,20.8189
mol5,rec_19_mol5.sdf,rec_final_19-noH.pdb,20.6771
mol5,rec_18_mol5.sdf,rec_final_18-noH.pdb,20.4779
mol5,rec_12_mol5.sdf,rec_final_12-noH.pdb,20.2529
mol5,rec_8_mol5.sdf,rec_final_8-noH.pdb,20.0645
mol5,rec_15_mol5.sdf,rec_final_15-noH.pdb,19.8744
mol5,rec_17_mol5.sdf,rec_final_17-noH.pdb,19.6958
mol5,rec_4_mol5.sdf,rec_final_4-noH.pdb,19.4195
mol5,rec_16_mol5.sdf,rec_final_16-noH.pdb,19.0758
mol5,rec_10_mol5.sdf,rec_final_10-noH.pdb,18.8774
mol5,rec_5_mol5.sdf,rec_final_5-noH.pdb,18.1808
mol6,rec_7_mol6.sdf,rec_final_7-noH.pdb,18.4289
mol6,rec_14_mol6.sdf,rec_final_14-noH.pdb,17.9118
mol6,rec_11_mol6.sdf,rec_final_11-noH.pdb,17.0993
mol6,rec_17_mol6.sdf,rec_final_17-noH.pdb,16.5238
mol6,rec_2_mol6.sdf,rec_final_2-noH.pdb,16.1610
mol6,rec_6_mol6.sdf,rec_final_6-noH.pdb,15.8557
mol6,rec_13_mol6.sdf,rec_final_13-noH.pdb,15.5776
mol6,rec_9_mol6.sdf,rec_final_9-noH.pdb,15.5625
mol6,rec_10_mol6.sdf,rec_final_10-noH.pdb,15.5413
mol6,rec_20_mol6.sdf,rec_final_20-noH.pdb,15.4625
mol6,rec_3_mol6.sdf,rec_final_3-noH.pdb,15.2929
mol6,rec_16_mol6.sdf,rec_final_16-noH.pdb,14.7529
mol6,rec_18_mol6.sdf,rec_final_18-noH.pdb,14.7353
mol6,rec_12_mol6.sdf,rec_final_12-noH.pdb,14.7055
mol6,rec_4_mol6.sdf,rec_final_4-noH.pdb,14.4996
mol6,rec_1_mol6.sdf,rec_final_1-noH.pdb,14.3461
mol6,rec_5_mol6.sdf,rec_final_5-noH.pdb,14.3075
mol6,rec_19_mol6.sdf,rec_final_19-noH.pdb,14.0735
mol6,rec_8_mol6.sdf,rec_final_8-noH.pdb,13.8592
mol6,rec_15_mol6.sdf,rec_final_15-noH.pdb,12.6959
mol7,rec_19_mol7.sdf,rec_final_19-noH.pdb,18.2852
mol7,rec_20_mol7.sdf,rec_final_20-noH.pdb,18.1092
mol7,rec_17_mol7.sdf,rec_final_17-noH.pdb,17.5250
mol7,rec_18_mol7.sdf,rec_final_18-noH.pdb,17.4810
mol7,rec_7_mol7.sdf,rec_final_7-noH.pdb,17.3826
mol7,rec_14_mol7.sdf,rec_final_14-noH.pdb,17.3710
mol7,rec_11_mol7.sdf,rec_final_11-noH.pdb,16.6586
mol7,rec_4_mol7.sdf,rec_final_4-noH.pdb,16.6214
mol7,rec_13_mol7.sdf,rec_final_13-noH.pdb,16.5686
mol7,rec_8_mol7.sdf,rec_final_8-noH.pdb,16.5051
mol7,rec_16_mol7.sdf,rec_final_16-noH.pdb,16.4436
mol7,rec_6_mol7.sdf,rec_final_6-noH.pdb,16.4304
mol7,rec_2_mol7.sdf,rec_final_2-noH.pdb,16.2811
mol7,rec_10_mol7.sdf,rec_final_10-noH.pdb,16.2527
mol7,rec_9_mol7.sdf,rec_final_9-noH.pdb,16.2251
mol7,rec_15_mol7.sdf,rec_final_15-noH.pdb,15.9855
mol7,rec_3_mol7.sdf,rec_final_3-noH.pdb,15.8509
mol7,rec_12_mol7.sdf,rec_final_12-noH.pdb,15.7810
