Ligand,score,RMSD
rec_13_mol0.sdf,7.09377,0.904948074062816
rec_18_mol1.sdf,7.28888,3.1293411725553355
rec_4_mol2.sdf,6.70456,3.207620790355715
rec_18_mol3.sdf,7.02196,1.2869498803739772
rec_18_mol4.sdf,6.62002,1.9268833363750908
rec_7_mol5.sdf,6.43627,1.6033035418230142
rec_4_mol6.sdf,5.44005,3.1341725932510025
rec_13_mol7.sdf,5.93345,1.3250009325105572
rec_18_mol8.sdf,6.93899,1.0477046252232953
rec_1_mol9.sdf,5.34778,2.7958140401576883
rec_13_mol10.sdf,6.89665,5.257631613104672
rec_13_mol11.sdf,5.99154,2.2565392662954777
rec_2_mol12.sdf,7.55462,3.019838675076596
rec_5_mol13.sdf,6.87428,2.2886140879175403
rec_9_mol14.sdf,7.06453,1.118870629027324
rec_18_mol15.sdf,7.13551,0.9562058353062296
rec_13_mol16.sdf,7.12463,2.4790648866266616
rec_1_mol17.sdf,5.59526,1.9103686580200834
rec_13_mol18.sdf,6.83326,5.18648893684917
rec_4_mol19.sdf,5.99414,1.4525969722693741
rec_18_mol20.sdf,7.24677,0.8817052202321453
rec_18_mol21.sdf,7.01857,6.814138890143543
rec_18_mol23.sdf,7.30395,2.5215206498262117
rec_9_mol24.sdf,6.94133,7.354206444802714
rec_18_mol25.sdf,6.60737,8.720029898765592
rec_13_mol26.sdf,6.97394,5.189764913609229
rec_4_mol27.sdf,6.52423,0.7649872688891625
rec_2_mol28.sdf,6.94658,1.1480057109476511
rec_13_mol29.sdf,6.97406,5.11923310157247
rec_18_mol30.sdf,7.13231,5.5028149064314755
rec_13_mol31.sdf,7.09377,1.1832152546134622
rec_9_mol32.sdf,6.94448,5.3442904722169216
rec_18_mol34.sdf,7.02197,0.7882391571844921
rec_1_mol35.sdf,5.41149,3.6149099968349683
rec_1_mol36.sdf,5.74748,2.482985900966818
rec_16_mol37.sdf,6.51928,4.79680240508586
rec_4_mol38.sdf,5.45047,3.0929175163148583
rec_4_mol39.sdf,5.60149,2.701650739603475
rec_4_mol40.sdf,5.1646,3.0946778209532573
rec_18_mol41.sdf,7.21206,2.139556937180195
rec_13_mol43.sdf,7.23489,2.425070348464143
rec_18_mol44.sdf,6.93898,1.1163733632999826
rec_18_mol45.sdf,7.24676,0.8845616109631615
rec_13_mol46.sdf,6.55157,4.577861853494207
rec_11_mol47.sdf,6.32183,48.49983797115602
rec_4_mol48.sdf,5.50916,3.1606193050355866
rec_4_mol49.sdf,7.34544,2.2947923099923444
rec_4_mol50.sdf,6.89919,0.989351032584328
rec_18_mol51.sdf,6.6883,1.8146871173271453
rec_13_mol52.sdf,6.3754,5.106696793763803
rec_13_mol53.sdf,6.64886,5.290489126725429
rec_4_mol54.sdf,5.73742,1.7177307636093613
rec_2_mol55.sdf,6.7389,1.0483521580185842
rec_13_mol56.sdf,6.88147,5.210141676055597
rec_13_mol57.sdf,6.70472,4.988466283721233
rec_18_mol58.sdf,5.7903,4.310954108074346
rec_18_mol59.sdf,7.03516,1.893557677258673
rec_11_mol60.sdf,7.05662,5.625144946255953
rec_1_mol61.sdf,5.48014,3.2078669981355636
rec_4_mol62.sdf,5.37309,3.1744726048732734
rec_18_mol63.sdf,6.61959,0.7576655631531867
rec_13_mol64.sdf,6.80979,5.182470191537667
rec_13_mol65.sdf,6.77796,5.143209871562814
rec_4_mol66.sdf,5.95588,0.8305337365212802
rec_13_mol67.sdf,6.82533,5.341727018323355
rec_4_mol68.sdf,6.30578,3.849531014865547
rec_20_mol69.sdf,6.68393,3.65592423897311
rec_2_mol70.sdf,6.08535,1.643804117867049
rec_13_mol71.sdf,6.55171,4.691019969150392
rec_4_mol72.sdf,5.65259,4.151835104950057
rec_4_mol73.sdf,5.9597,3.9014470959750702
rec_16_mol74.sdf,5.87741,4.976619016032947
rec_4_mol75.sdf,7.19005,1.1814867238991729
rec_18_mol76.sdf,6.93987,0.9541422839679397
rec_13_mol77.sdf,6.77795,5.142484055653169
rec_18_mol78.sdf,6.73998,0.8285948507362733
rec_2_mol79.sdf,5.99609,1.0350960708677845
rec_18_mol80.sdf,7.01584,0.7679723784095362
rec_1_mol81.sdf,5.26036,2.1463003330149304
rec_1_mol82.sdf,5.98878,3.3469737249278104
rec_14_mol83.sdf,5.72438,1.3789548149474178
rec_18_mol84.sdf,6.90994,1.2769705865519843
rec_18_mol85.sdf,6.48374,2.2233095528169398
rec_1_mol86.sdf,5.38801,3.1134515773150735
rec_4_mol87.sdf,6.8144,1.101451314013859
rec_11_mol88.sdf,5.49673,0.7900630259669165
rec_1_mol89.sdf,5.27805,3.064175544750597
rec_4_mol90.sdf,7.02659,0.6676456795494539
rec_4_mol91.sdf,7.20506,1.3893460104488007
rec_18_mol92.sdf,7.14851,0.7653193676135763
rec_11_mol93.sdf,7.05097,5.695683294171121
rec_13_mol95.sdf,7.09377,0.9066733674537925
rec_18_mol96.sdf,7.02194,1.337980860869861
rec_7_mol97.sdf,5.55426,0.9913773769247815
