N,Iteration,Molecule,LowestRMSD
1,0,mol0,2.1190172490449437
1,0,mol1,2.468923867649629
1,0,mol2,3.138291313446787
1,0,mol3,0.8061638623586226
1,0,mol4,1.9312180635916956
1,0,mol5,1.000216747343628
1,0,mol6,0.8748568462489001
1,0,mol7,2.6184132221486887
1,0,mol8,1.436022810801714
1,0,mol9,1.501653991120331
1,0,mol10,5.254866156268313
1,0,mol11,2.6657593540427964
1,0,mol12,1.988426839968465
1,0,mol13,2.224031472294423
1,0,mol14,1.1305889922956087
1,0,mol15,0.9637758990990644
1,0,mol16,0.84403620307737
1,0,mol17,2.1680418837156847
1,0,mol18,5.245086065379224
1,0,mol19,1.436995118829031
1,0,mol20,1.6837865106162755
1,0,mol21,5.0634430164497095
1,0,mol23,6.001519746905779
1,0,mol24,7.464973197801107
1,0,mol25,9.903480093492142
1,0,mol26,5.226723632927228
1,0,mol27,0.7128925780315712
1,0,mol28,1.2376246611320032
1,0,mol29,5.1547496129069845
1,0,mol30,1.4246283998916272
1,0,mol31,1.150201507888944
1,0,mol32,1.5622355812836208
1,0,mol34,0.822006326831705
1,0,mol35,4.912981274842855
1,0,mol36,3.24153597919258
1,0,mol37,0.6579668216844217
1,0,mol38,3.0788504376264734
1,0,mol39,1.933285524385883
1,0,mol40,3.132692180138356
1,0,mol41,1.8117407411318325
1,0,mol43,2.599787686523651
1,0,mol44,5.1686313823183125
1,0,mol45,0.7886441220741149
1,0,mol46,1.5173691285438968
1,0,mol57,4.2957981418787865
1,1,mol0,6.253637200201975
1,1,mol1,2.474279003922153
1,1,mol2,2.6099724075276267
1,1,mol3,1.2711882608782206
1,1,mol4,3.5932408353144702
1,1,mol5,1.612527843859517
1,1,mol6,3.2660233904769966
1,1,mol7,2.696985683841528
1,1,mol8,5.095047871806506
1,1,mol9,1.50120451146341
1,1,mol10,5.223012831493063
1,1,mol11,2.1955702722375645
1,1,mol12,1.538691529673304
1,1,mol13,2.254510720701079
1,1,mol14,1.327481623036643
1,1,mol15,0.8690064044945995
1,1,mol16,1.832165513811457
1,1,mol17,2.168887714621567
1,1,mol18,5.135983656659217
1,1,mol19,4.141655414389089
1,1,mol20,2.9243714666354883
1,1,mol21,5.01452854522071
1,1,mol23,2.521520649826212
1,1,mol24,7.294702262563184
1,1,mol25,9.91849411471613
1,1,mol26,5.182689805808881
1,1,mol27,0.6869072556120658
1,1,mol28,5.711167609144111
1,1,mol29,5.05291906851289
1,1,mol30,1.1800098398836436
1,1,mol31,1.1629916073428903
1,1,mol32,5.342424523967158
1,1,mol34,0.7398967175915179
1,1,mol35,4.848758305237403
1,1,mol36,3.741687448251123
1,1,mol37,1.8433139859876015
1,1,mol38,3.078637238218471
1,1,mol39,0.8260486273821895
1,1,mol40,3.0693311413889512
1,1,mol41,1.8194509640308585
1,1,mol43,2.4204537477506154
1,1,mol44,1.5304782036997455
1,1,mol45,1.713769974541807
1,1,mol46,4.541819905379695
1,1,mol57,4.326556878387604
1,2,mol0,3.0922626734722907
1,2,mol1,1.7608726499238951
1,2,mol2,4.418742273449161
1,2,mol3,1.280832678905153
1,2,mol4,6.214101286406128
1,2,mol5,1.5359772739565878
1,2,mol6,3.27866238353968
1,2,mol7,1.3250009325105572
1,2,mol8,1.436022810801714
1,2,mol9,1.5010961818427415
1,2,mol10,0.7046906724397092
1,2,mol11,2.153071763860493
1,2,mol12,2.589065009513738
1,2,mol13,2.090711615227882
1,2,mol14,1.376450592829252
1,2,mol15,5.607211692332614
1,2,mol16,1.832165513811457
1,2,mol17,2.1751497274482463
1,2,mol18,5.216766528195974
1,2,mol19,1.436995118829031
1,2,mol20,0.7038895586448424
1,2,mol21,5.384434829802371
1,2,mol23,5.971939605563673
1,2,mol24,7.29149157195487
1,2,mol25,9.916977335333192
1,2,mol26,5.213124676604572
1,2,mol27,0.688681972366418
1,2,mol28,1.952085278214313
1,2,mol29,0.9025008984841544
1,2,mol30,5.570218897553906
1,2,mol31,1.1673439719080234
1,2,mol32,1.6126675345969042
1,2,mol34,1.3428115930108455
1,2,mol35,4.778607382909796
1,2,mol36,2.160446403963774
1,2,mol37,4.852246694927773
1,2,mol38,3.078787094265887
1,2,mol39,1.0579464782303496
1,2,mol40,3.069552189733871
1,2,mol41,1.8020498001741496
1,2,mol43,2.0057859307513355
1,2,mol44,1.0299756560229951
1,2,mol45,0.7309606061152047
1,2,mol46,4.568102588532229
1,2,mol57,0.6307182099675065
1,3,mol0,2.057506953025919
1,3,mol1,1.5224400987395204
1,3,mol2,3.9257778424225127
1,3,mol3,1.1596725586316348
1,3,mol4,3.5932408353144702
1,3,mol5,1.592591859377523
1,3,mol6,3.304139089154116
1,3,mol7,3.1610130377776047
1,3,mol8,2.382516875431166
1,3,mol9,1.4947416959525304
1,3,mol10,2.3068018942071404
1,3,mol11,3.0238481532091965
1,3,mol12,4.032559555378497
1,3,mol13,2.254510720701079
1,3,mol14,1.1305889922956087
1,3,mol15,0.6454697999376725
1,3,mol16,0.7902953322051592
1,3,mol17,2.1745760235670604
1,3,mol18,5.11705998691689
1,3,mol19,2.812032873070791
1,3,mol20,1.5025944496104062
1,3,mol21,5.021283416921968
1,3,mol23,2.521520649826212
1,3,mol24,7.180202395746856
1,3,mol25,9.91679205266772
1,3,mol26,5.195618214899936
1,3,mol27,4.8619600050095535
1,3,mol28,1.313214788520703
1,3,mol29,0.8988402992353044
1,3,mol30,4.364569607774759
1,3,mol31,2.120091145151548
1,3,mol32,6.006345310467207
1,3,mol34,0.9848791509073038
1,3,mol35,4.824047512023578
1,3,mol36,2.1606372486838232
1,3,mol37,0.6579668216844217
1,3,mol38,3.083637988568933
1,3,mol39,2.682449231355553
1,3,mol40,3.0693311413889512
1,3,mol41,1.8194509640308585
1,3,mol43,2.6295630045693903
1,3,mol44,1.1783353975599888
1,3,mol45,0.7275857707831797
1,3,mol46,4.5936741617703065
1,3,mol57,4.305570330174264
1,4,mol0,2.0453316544634026
1,4,mol1,1.5224400987395204
1,4,mol2,2.614172189187664
1,4,mol3,1.8095610532406483
1,4,mol4,1.9312180635916956
1,4,mol5,2.2266081510524773
1,4,mol6,3.2660233904769966
1,4,mol7,1.0600750889586874
1,4,mol8,0.6899963842555367
1,4,mol9,1.5016494722867413
1,4,mol10,5.172667756612068
1,4,mol11,2.2524225240837925
1,4,mol12,2.8415944067240813
1,4,mol13,2.1965238422917466
