N,mean,lower_95CI,upper_95CI
1,43.64312700328487,33.68421052631579,53.763440860215056
2,55.356705454338794,45.26315789473684,65.26315789473684
3,61.75001674898155,52.083333333333336,71.57894736842105
4,63.86891413760341,54.166666666666664,73.62637362637362
5,70.2783710955015,60.869565217391305,79.16666666666667
6,70.2783710955015,60.869565217391305,79.16666666666667
7,73.47052756821688,64.51612903225806,81.91489361702128
8,73.47052756821688,64.51612903225806,81.91489361702128
9,74.54311670922273,65.59139784946237,82.79569892473118
10,75.60402229606883,67.01030927835052,83.87096774193549
11,75.60402229606883,67.01030927835052,83.87096774193549
12,80.87725419667295,72.63157894736842,88.42105263157895
13,87.24368085781965,80.20833333333333,93.6842105263158
14,88.29292229274785,81.52173913043478,94.6236559139785
15,88.29292229274785,81.52173913043478,94.6236559139785
16,88.29292229274785,81.52173913043478,94.6236559139785
17,88.29292229274785,81.52173913043478,94.6236559139785
18,89.37172736959256,82.79569892473118,94.84536082474227
19,90.42274615865463,84.04255319148936,95.78947368421052
20,90.42274615865463,84.04255319148936,95.78947368421052
