N,mean,lower_95CI,upper_95CI
1,41.4104394184492,31.46067415730337,51.111111111111114
2,54.2272748075724,43.956043956043956,64.1304347826087
3,59.578303861291566,49.473684210526315,69.23469387755095
4,63.85473304584203,54.166666666666664,73.62637362637362
5,65.97326678179182,56.25,75.53191489361703
6,69.12749674480719,59.57446808510638,78.26086956521739
7,73.3744535400645,64.21052631578948,82.10526315789474
8,73.3744535400645,64.21052631578948,82.10526315789474
9,75.49581516308584,66.3157894736842,84.04255319148936
10,75.49581516308584,66.3157894736842,84.04255319148936
11,78.72498056879132,70.2127659574468,86.66836734693875
12,80.85580986346608,72.63157894736842,88.42105263157895
13,81.90616816834611,73.91304347826087,89.36170212765957
14,82.96657413174383,75.0,90.3225806451613
15,84.02454592170136,76.34408602150538,91.30434782608695
16,84.02454592170136,76.34408602150538,91.30434782608695
17,88.28516042008032,81.44329896907216,94.68085106382979
18,90.41866493238767,84.04255319148936,95.78947368421052
19,90.41866493238767,84.04255319148936,95.78947368421052
20,90.41866493238767,84.04255319148936,95.78947368421052
