N,mean,lower_95CI,upper_95CI
1,40.24974328712259,30.208333333333332,50.526315789473685
2,56.13128232672925,45.833333333333336,65.98720027800289
3,64.9311580185292,55.208333333333336,74.46808510638297
4,70.84815752072458,61.458333333333336,79.7872340425532
5,75.08322497853331,65.95744680851064,83.33762886597931
6,78.13181951565392,69.56521739130434,86.17021276595744
7,80.55649762192209,72.16494845360825,88.29787234042553
8,82.38191295914326,74.46808510638297,89.58333333333333
9,83.90051810617989,76.08695652173913,90.625
10,85.08142594451387,77.41935483870968,91.66666666666667
11,86.10363117547791,78.88888888888889,92.63157894736842
12,86.90536177047821,79.56989247311827,93.47826086956522
13,87.6012182479947,80.43478260869566,93.6842105263158
14,88.19088469038338,81.25,94.56521739130434
15,88.6987034798154,81.72043010752688,94.68085106382979
16,89.13071741295467,82.47422680412372,94.79166666666667
17,89.49872386292212,82.97811895551257,95.50561797752809
18,89.83809616614076,83.33333333333333,95.6989247311828
19,90.12256467247455,83.69565217391305,95.74468085106383
20,90.39058848383037,84.04255319148936,95.78947368421052
