N,mean,lower_95CI,upper_95CI
1,40.51496979996413,30.851063829787233,50.54945054945055
2,52.233116688239164,42.22222222222222,62.637362637362635
3,61.78738097107855,52.083333333333336,71.57894736842105
4,61.78738097107855,52.083333333333336,71.57894736842105
5,69.20662392003952,59.78260869565217,78.26086956521739
6,71.32088337854071,62.10526315789474,80.0
7,72.37952664483056,63.1578947368421,81.05263157894737
8,73.44830946412111,64.51612903225806,82.10526315789474
9,73.44830946412111,64.51612903225806,82.10526315789474
10,75.5743382178403,66.66666666666667,84.04255319148936
11,75.5743382178403,66.66666666666667,84.04255319148936
12,78.77070349226268,70.10309278350516,86.5979381443299
13,87.27820951789764,80.40755636116461,93.61702127659575
14,88.33785442685135,81.52173913043478,94.56521739130434
15,88.33785442685135,81.52173913043478,94.56521739130434
16,88.33785442685135,81.52173913043478,94.56521739130434
17,88.33785442685135,81.52173913043478,94.56521739130434
18,89.39557609056398,82.79569892473118,94.84536082474227
19,90.45606598166017,84.21052631578948,95.78947368421052
20,90.45606598166017,84.21052631578948,95.78947368421052
