mol_id,ligand,receptor,score
mol0,rec_17_mol0.sdf,rec_final_17-noH.pdb,25.8067
mol0,rec_16_mol0.sdf,rec_final_16-noH.pdb,25.6468
mol0,rec_20_mol0.sdf,rec_final_20-noH.pdb,25.6028
mol0,rec_2_mol0.sdf,rec_final_2-noH.pdb,25.3454
mol0,rec_9_mol0.sdf,rec_final_9-noH.pdb,25.0349
mol0,rec_19_mol0.sdf,rec_final_19-noH.pdb,24.7472
mol0,rec_13_mol0.sdf,rec_final_13-noH.pdb,24.7423
mol0,rec_3_mol0.sdf,rec_final_3-noH.pdb,24.5329
mol0,rec_6_mol0.sdf,rec_final_6-noH.pdb,24.5167
mol0,rec_7_mol0.sdf,rec_final_7-noH.pdb,24.4925
mol0,rec_8_mol0.sdf,rec_final_8-noH.pdb,24.3146
mol0,rec_14_mol0.sdf,rec_final_14-noH.pdb,23.8121
mol0,rec_15_mol0.sdf,rec_final_15-noH.pdb,23.2134
mol0,rec_11_mol0.sdf,rec_final_11-noH.pdb,23.2016
mol0,rec_18_mol0.sdf,rec_final_18-noH.pdb,23.0501
mol0,rec_4_mol0.sdf,rec_final_4-noH.pdb,23.0018
mol0,rec_10_mol0.sdf,rec_final_10-noH.pdb,22.4716
mol0,rec_12_mol0.sdf,rec_final_12-noH.pdb,22.0752
mol0,rec_5_mol0.sdf,rec_final_5-noH.pdb,22.0131
mol0,rec_1_mol0.sdf,rec_final_1-noH.pdb,19.8050
mol1,rec_17_mol1.sdf,rec_final_17-noH.pdb,26.1224
mol1,rec_20_mol1.sdf,rec_final_20-noH.pdb,25.4897
mol1,rec_19_mol1.sdf,rec_final_19-noH.pdb,25.2796
mol1,rec_8_mol1.sdf,rec_final_8-noH.pdb,25.0549
mol1,rec_2_mol1.sdf,rec_final_2-noH.pdb,24.9351
mol1,rec_13_mol1.sdf,rec_final_13-noH.pdb,24.7997
mol1,rec_11_mol1.sdf,rec_final_11-noH.pdb,24.3287
mol1,rec_7_mol1.sdf,rec_final_7-noH.pdb,24.2646
mol1,rec_12_mol1.sdf,rec_final_12-noH.pdb,24.1455
mol1,rec_6_mol1.sdf,rec_final_6-noH.pdb,23.8929
mol1,rec_18_mol1.sdf,rec_final_18-noH.pdb,23.7012
mol1,rec_16_mol1.sdf,rec_final_16-noH.pdb,23.6517
mol1,rec_3_mol1.sdf,rec_final_3-noH.pdb,23.5398
mol1,rec_14_mol1.sdf,rec_final_14-noH.pdb,23.2689
mol1,rec_9_mol1.sdf,rec_final_9-noH.pdb,23.0395
mol1,rec_5_mol1.sdf,rec_final_5-noH.pdb,22.9677
mol1,rec_4_mol1.sdf,rec_final_4-noH.pdb,22.1855
mol1,rec_15_mol1.sdf,rec_final_15-noH.pdb,21.7777
mol1,rec_1_mol1.sdf,rec_final_1-noH.pdb,20.1059
mol1,rec_10_mol1.sdf,rec_final_10-noH.pdb,19.7071
mol2,rec_17_mol2.sdf,rec_final_17-noH.pdb,22.5417
mol2,rec_6_mol2.sdf,rec_final_6-noH.pdb,22.1119
mol2,rec_3_mol2.sdf,rec_final_3-noH.pdb,22.0815
mol2,rec_7_mol2.sdf,rec_final_7-noH.pdb,21.9502
mol2,rec_14_mol2.sdf,rec_final_14-noH.pdb,21.1769
mol2,rec_13_mol2.sdf,rec_final_13-noH.pdb,21.0176
mol2,rec_2_mol2.sdf,rec_final_2-noH.pdb,20.9821
mol2,rec_8_mol2.sdf,rec_final_8-noH.pdb,20.6452
mol2,rec_19_mol2.sdf,rec_final_19-noH.pdb,20.6382
mol2,rec_10_mol2.sdf,rec_final_10-noH.pdb,20.3929
mol2,rec_18_mol2.sdf,rec_final_18-noH.pdb,19.9006
mol2,rec_5_mol2.sdf,rec_final_5-noH.pdb,19.8998
mol2,rec_12_mol2.sdf,rec_final_12-noH.pdb,19.8650
mol2,rec_11_mol2.sdf,rec_final_11-noH.pdb,19.7627
mol2,rec_16_mol2.sdf,rec_final_16-noH.pdb,19.7167
mol2,rec_9_mol2.sdf,rec_final_9-noH.pdb,19.6417
mol2,rec_15_mol2.sdf,rec_final_15-noH.pdb,19.4485
