N,mean,lower_95CI,upper_95CI
1,42.58075605021789,32.608695652173914,52.68817204301075
2,56.357471735411124,46.15384615384615,66.3157894736842
3,60.592563792800334,50.526315789473685,70.52631578947368
4,63.80622432300048,53.84615384615385,73.40425531914893
5,67.01406394054393,57.443222567535265,76.34408602150538
6,69.1290827168819,59.57446808510638,78.35051546391753
7,74.4297521241798,65.26315789473684,82.97872340425532
8,75.49265845351326,66.3265306122449,83.87096774193549
9,75.49265845351326,66.3265306122449,83.87096774193549
10,77.60370035442283,69.06758304696449,85.8695652173913
11,78.69102548879879,70.32967032967034,86.5979381443299
12,78.69102548879879,70.32967032967034,86.5979381443299
13,82.94948256806518,75.25773195876289,90.3225806451613
14,82.94948256806518,75.25773195876289,90.3225806451613
15,84.0246882495718,76.34408602150538,91.30434782608695
16,84.0246882495718,76.34408602150538,91.30434782608695
17,89.35026565792982,82.79569892473118,94.79166666666667
18,90.42134359481072,84.04255319148936,95.78947368421052
19,90.42134359481072,84.04255319148936,95.78947368421052
20,90.42134359481072,84.04255319148936,95.78947368421052
