N,mean,lower_95CI,upper_95CI
1,40.044136118715414,30.208333333333332,50.0
2,55.818321539261845,45.833333333333336,65.625
3,64.66641522174099,54.83616298811545,74.19354838709677
4,70.58334546453331,61.111111111111114,79.56989247311827
5,74.71676683846182,65.55555555555556,83.15789473684211
6,77.91083092738286,69.22872340425532,86.02150537634408
7,80.33489254745535,71.875,88.17204301075269
8,82.31732491891775,74.19354838709677,89.5851293103448
9,83.82697900311175,76.04166666666667,90.72164948453609
10,85.07601742809675,77.55102040816327,91.66666666666667
11,86.09658784801132,78.88888888888889,92.63157894736842
12,86.9829920134803,79.7872340425532,93.54838709677419
13,87.7227184207276,80.85106382978724,93.75
14,88.3243890994372,81.31868131868131,94.56521739130434
15,88.8343973115498,82.10526315789474,94.73684210526316
16,89.30601008996209,82.6086956521739,94.79166666666667
17,89.66290563830256,83.15789473684211,95.6989247311828
18,89.96455879321803,83.51620029455081,95.6989247311828
19,90.2128597372575,83.87096774193549,95.74468085106383
20,90.43069647364685,84.04255319148936,95.78947368421052
