N,mean,lower_95CI,upper_95CI
1,40.6752875406864,30.927835051546392,50.51546391752577
2,53.14251220241228,43.29896907216495,63.1578947368421
3,61.49546745670191,51.578947368421055,70.83333333333333
4,69.83134406754137,60.824742268041234,78.94736842105263
5,71.89657926781636,62.88659793814433,80.41237113402062
6,72.94018454050463,63.91752577319588,81.44329896907216
7,72.94018454050463,63.91752577319588,81.44329896907216
8,75.0478598832374,65.97938144329896,83.33333333333333
9,76.1000333291579,67.36842105263158,84.375
10,76.1000333291579,67.36842105263158,84.375
11,77.13199504913287,68.75,85.41666666666667
12,78.18377434987296,69.79166666666667,86.45833333333333
13,78.18377434987296,69.79166666666667,86.45833333333333
14,79.21816005871293,70.83333333333333,87.36842105263158
15,79.21816005871293,70.83333333333333,87.36842105263158
16,79.21816005871293,70.83333333333333,87.36842105263158
17,79.21816005871293,70.83333333333333,87.36842105263158
18,79.21816005871293,70.83333333333333,87.36842105263158
19,79.21816005871293,70.83333333333333,87.36842105263158
20,79.21816005871293,70.83333333333333,87.36842105263158
