mol_id,ligand,receptor,score
mol0,rec_5_mol0.sdf,rec_final_5-noH.pdb,29.6377
mol0,rec_16_mol0.sdf,rec_final_16-noH.pdb,27.6340
mol0,rec_6_mol0.sdf,rec_final_6-noH.pdb,27.1871
mol0,rec_20_mol0.sdf,rec_final_20-noH.pdb,26.3064
mol0,rec_9_mol0.sdf,rec_final_9-noH.pdb,26.1340
mol0,rec_11_mol0.sdf,rec_final_11-noH.pdb,25.0906
mol0,rec_1_mol0.sdf,rec_final_1-noH.pdb,24.9111
mol0,rec_4_mol0.sdf,rec_final_4-noH.pdb,24.0777
mol0,rec_19_mol0.sdf,rec_final_19-noH.pdb,24.0233
mol0,rec_7_mol0.sdf,rec_final_7-noH.pdb,23.9525
mol0,rec_14_mol0.sdf,rec_final_14-noH.pdb,23.6633
mol0,rec_18_mol0.sdf,rec_final_18-noH.pdb,23.0486
mol0,rec_2_mol0.sdf,rec_final_2-noH.pdb,22.8595
mol0,rec_15_mol0.sdf,rec_final_15-noH.pdb,22.1649
mol0,rec_12_mol0.sdf,rec_final_12-noH.pdb,22.0137
mol1,rec_14_mol1.sdf,rec_final_14-noH.pdb,21.8304
mol1,rec_20_mol1.sdf,rec_final_20-noH.pdb,21.4703
mol1,rec_5_mol1.sdf,rec_final_5-noH.pdb,21.3106
mol1,rec_2_mol1.sdf,rec_final_2-noH.pdb,19.7388
mol1,rec_16_mol1.sdf,rec_final_16-noH.pdb,19.4647
mol1,rec_9_mol1.sdf,rec_final_9-noH.pdb,18.8974
mol1,rec_15_mol1.sdf,rec_final_15-noH.pdb,18.7254
mol1,rec_13_mol1.sdf,rec_final_13-noH.pdb,18.5023
mol1,rec_12_mol1.sdf,rec_final_12-noH.pdb,18.3666
mol1,rec_18_mol1.sdf,rec_final_18-noH.pdb,18.0984
mol1,rec_6_mol1.sdf,rec_final_6-noH.pdb,17.8825
mol1,rec_11_mol1.sdf,rec_final_11-noH.pdb,17.7558
mol1,rec_7_mol1.sdf,rec_final_7-noH.pdb,17.4678
mol1,rec_19_mol1.sdf,rec_final_19-noH.pdb,17.3936
mol1,rec_4_mol1.sdf,rec_final_4-noH.pdb,15.5076
mol1,rec_1_mol1.sdf,rec_final_1-noH.pdb,13.0388
mol2,rec_14_mol2.sdf,rec_final_14-noH.pdb,25.5315
mol2,rec_9_mol2.sdf,rec_final_9-noH.pdb,24.4092
mol2,rec_12_mol2.sdf,rec_final_12-noH.pdb,23.6191
mol2,rec_5_mol2.sdf,rec_final_5-noH.pdb,23.2339
mol2,rec_11_mol2.sdf,rec_final_11-noH.pdb,19.5772
mol2,rec_20_mol2.sdf,rec_final_20-noH.pdb,19.5324
mol2,rec_19_mol2.sdf,rec_final_19-noH.pdb,18.3073
mol2,rec_15_mol2.sdf,rec_final_15-noH.pdb,17.9586
mol2,rec_2_mol2.sdf,rec_final_2-noH.pdb,17.7439
mol2,rec_1_mol2.sdf,rec_final_1-noH.pdb,16.8098
mol2,rec_6_mol2.sdf,rec_final_6-noH.pdb,16.7569
mol2,rec_18_mol2.sdf,rec_final_18-noH.pdb,16.1200
mol2,rec_7_mol2.sdf,rec_final_7-noH.pdb,16.0572
mol2,rec_16_mol2.sdf,rec_final_16-noH.pdb,15.9358
mol2,rec_4_mol2.sdf,rec_final_4-noH.pdb,14.4237
mol3,rec_20_mol3.sdf,rec_final_20-noH.pdb,29.6972
mol3,rec_5_mol3.sdf,rec_final_5-noH.pdb,28.4180
mol3,rec_16_mol3.sdf,rec_final_16-noH.pdb,26.1222
