N,mean,lower_95CI,upper_95CI
1,53.12469584756521,43.14665570175439,63.1578947368421
2,55.23817900080032,45.26315789473684,64.94845360824742
3,62.53335278081992,52.577319587628864,71.875
4,65.6595693138851,55.670103092783506,75.0
5,67.75535578242287,58.333333333333336,77.08333333333333
6,71.87574259607042,62.88659793814433,80.41237113402062
7,71.87574259607042,62.88659793814433,80.41237113402062
8,75.02211383730254,65.97938144329896,83.33333333333333
9,75.02211383730254,65.97938144329896,83.33333333333333
10,75.02211383730254,65.97938144329896,83.33333333333333
11,75.02211383730254,65.97938144329896,83.33333333333333
12,77.09880315247699,68.42105263157895,85.41666666666667
13,78.14522773285799,69.79166666666667,86.45833333333333
14,79.1739510845796,70.83333333333333,87.36842105263158
15,79.1739510845796,70.83333333333333,87.36842105263158
16,79.1739510845796,70.83333333333333,87.36842105263158
17,79.1739510845796,70.83333333333333,87.36842105263158
18,79.1739510845796,70.83333333333333,87.36842105263158
19,79.1739510845796,70.83333333333333,87.36842105263158
20,79.1739510845796,70.83333333333333,87.36842105263158
