ligand_filename,RMSD
rec_14_mol0.sdf,0.9299
rec_16_mol1.sdf,1.6708
rec_19_mol2.sdf,0.5236
rec_5_mol3.sdf,1.5221
rec_16_mol4.sdf,0.6701
rec_12_mol5.sdf,1.0052
rec_1_mol6.sdf,1.6844
rec_4_mol7.sdf,0.3471
rec_19_mol8.sdf,1.8709
rec_2_mol9.sdf,0.7181
rec_15_mol10.sdf,0.9034
rec_13_mol11.sdf,1.6102
rec_15_mol12.sdf,1.5119
rec_16_mol13.sdf,1.3535
rec_15_mol14.sdf,0.4034
rec_11_mol15.sdf,0.8966
rec_15_mol16.sdf,1.7527
rec_12_mol17.sdf,1.4199
rec_14_mol18.sdf,1.7428
rec_16_mol19.sdf,1.8968
rec_19_mol20.sdf,2.6366
rec_12_mol21.sdf,0.6891
rec_12_mol22.sdf,0.5840
rec_15_mol23.sdf,1.4413
rec_11_mol24.sdf,1.3317
rec_4_mol25.sdf,1.5407
rec_4_mol26.sdf,1.9942
rec_7_mol27.sdf,2.1205
rec_12_mol28.sdf,1.2040
rec_19_mol29.sdf,0.8536
rec_11_mol30.sdf,1.1259
rec_19_mol31.sdf,1.1249
rec_19_mol32.sdf,1.0616
rec_7_mol33.sdf,1.9013
rec_2_mol34.sdf,0.9136
rec_16_mol35.sdf,1.6642
rec_15_mol36.sdf,0.9950
rec_16_mol37.sdf,1.5355
rec_11_mol38.sdf,1.4812
rec_7_mol39.sdf,0.9021
rec_14_mol40.sdf,0.8955
rec_19_mol41.sdf,0.8733
rec_2_mol42.sdf,0.4724
rec_2_mol43.sdf,1.5184
rec_12_mol44.sdf,2.0046
rec_15_mol45.sdf,1.2865
rec_20_mol46.sdf,2.0150
rec_19_mol47.sdf,0.5204
rec_1_mol48.sdf,1.6170
rec_4_mol49.sdf,0.4709
rec_19_mol50.sdf,1.2142
rec_14_mol51.sdf,1.1909
rec_19_mol52.sdf,0.4992
rec_7_mol53.sdf,1.1675
rec_11_mol54.sdf,1.1987
rec_2_mol55.sdf,0.9447
rec_12_mol56.sdf,0.7975
rec_19_mol57.sdf,0.8307
rec_5_mol58.sdf,0.8535
rec_5_mol59.sdf,1.4437
rec_2_mol60.sdf,1.1510
rec_11_mol61.sdf,1.2300
rec_4_mol62.sdf,0.5639
rec_2_mol63.sdf,0.9722
rec_15_mol64.sdf,0.7248
rec_13_mol65.sdf,2.4722
rec_14_mol66.sdf,1.2186
rec_12_mol67.sdf,1.7234
rec_1_mol68.sdf,1.5633
rec_19_mol69.sdf,2.1099
rec_12_mol70.sdf,0.6808
rec_12_mol71.sdf,1.5776
rec_14_mol72.sdf,0.9318
rec_15_mol73.sdf,0.6330
rec_20_mol74.sdf,0.5617
rec_20_mol75.sdf,2.6297
rec_12_mol76.sdf,0.8215
rec_11_mol77.sdf,1.2993
rec_14_mol79.sdf,0.7556
rec_19_mol80.sdf,1.3999
rec_12_mol81.sdf,0.9978
rec_20_mol82.sdf,0.4728
rec_14_mol83.sdf,0.5649
rec_15_mol84.sdf,0.5459
rec_15_mol85.sdf,0.5990
rec_19_mol86.sdf,0.5770
rec_19_mol87.sdf,0.5880
rec_2_mol88.sdf,1.7663
rec_18_mol89.sdf,0.2799
rec_20_mol90.sdf,0.5662
rec_12_mol91.sdf,0.6782
rec_18_mol92.sdf,0.8331
rec_19_mol93.sdf,0.6306
rec_5_mol94.sdf,1.6782
rec_16_mol95.sdf,1.7461
rec_5_mol96.sdf,0.7613
