ligand_filename,RMSD,test_atoms,candidate_atoms
rec_14_mol0.sdf,1.3938,41,41
rec_16_mol1.sdf,2.5273,30,30
rec_19_mol2.sdf,0.5351,33,33
rec_5_mol3.sdf,1.4738,42,42
rec_16_mol4.sdf,0.7226,23,23
rec_12_mol5.sdf,1.1003,31,31
rec_19_mol6.sdf,1.7291,36,36
rec_4_mol7.sdf,0.9928,19,19
rec_19_mol8.sdf,1.8268,38,38
rec_2_mol9.sdf,0.7111,35,35
rec_19_mol10.sdf,0.7060,38,38
rec_6_mol11.sdf,3.3781,28,28
rec_15_mol12.sdf,3.0470,24,24
rec_16_mol13.sdf,1.2596,38,38
rec_15_mol14.sdf,0.4679,37,37
rec_5_mol15.sdf,0.8857,38,38
rec_15_mol16.sdf,2.8950,25,25
rec_12_mol17.sdf,1.2419,35,35
rec_19_mol18.sdf,3.4663,24,24
rec_16_mol19.sdf,3.3574,39,39
rec_5_mol20.sdf,3.7290,37,37
rec_12_mol21.sdf,0.6453,35,35
rec_12_mol22.sdf,0.8085,24,24
rec_11_mol23.sdf,1.2183,37,37
rec_12_mol24.sdf,1.4297,38,38
rec_11_mol25.sdf,1.5891,40,40
rec_15_mol26.sdf,2.9949,27,27
rec_7_mol27.sdf,3.8187,25,25
rec_12_mol28.sdf,1.1129,39,39
rec_19_mol29.sdf,0.8740,39,39
rec_11_mol30.sdf,0.9040,39,39
rec_20_mol31.sdf,1.1201,41,41
rec_19_mol32.sdf,1.2402,38,38
rec_7_mol33.sdf,2.3628,25,25
rec_2_mol34.sdf,0.8329,35,35
rec_16_mol35.sdf,2.5502,31,31
rec_15_mol36.sdf,1.0943,35,35
rec_16_mol37.sdf,2.6686,30,30
rec_11_mol38.sdf,1.6778,40,40
rec_7_mol39.sdf,1.5555,35,35
rec_14_mol40.sdf,1.0580,35,35
rec_12_mol41.sdf,0.9044,38,38
rec_2_mol42.sdf,0.6030,38,38
rec_2_mol43.sdf,1.3608,36,36
rec_20_mol44.sdf,2.0436,34,34
rec_15_mol45.sdf,1.3026,35,35
rec_19_mol46.sdf,1.8390,38,38
rec_19_mol47.sdf,0.5636,33,33
rec_15_mol48.sdf,1.5347,21,21
rec_4_mol49.sdf,1.1966,26,26
rec_19_mol50.sdf,1.2224,22,22
rec_19_mol51.sdf,1.5857,42,42
rec_19_mol52.sdf,0.6859,40,40
rec_2_mol53.sdf,1.5520,44,44
rec_11_mol54.sdf,1.0783,40,40
rec_2_mol55.sdf,0.8843,34,34
rec_12_mol56.sdf,1.3127,24,24
rec_19_mol57.sdf,1.3183,40,40
rec_5_mol58.sdf,0.8284,35,35
rec_5_mol59.sdf,1.1806,36,36
rec_2_mol60.sdf,1.4839,22,22
rec_11_mol61.sdf,1.2234,41,41
rec_4_mol62.sdf,0.7242,38,38
rec_2_mol63.sdf,0.9048,34,34
rec_15_mol64.sdf,0.6396,36,36
rec_6_mol65.sdf,3.6276,34,34
rec_15_mol66.sdf,0.9780,25,25
rec_12_mol67.sdf,2.2903,38,38
rec_1_mol68.sdf,2.2255,35,35
rec_19_mol69.sdf,2.7649,37,37
rec_12_mol70.sdf,0.6895,35,35
rec_12_mol71.sdf,1.3616,35,35
rec_14_mol72.sdf,1.3185,36,36
rec_15_mol73.sdf,0.7956,32,32
rec_12_mol74.sdf,0.6210,34,34
rec_19_mol75.sdf,2.9122,41,41
rec_12_mol76.sdf,0.6294,33,33
rec_11_mol77.sdf,2.0279,33,33
rec_14_mol79.sdf,0.7184,20,20
rec_19_mol80.sdf,1.2103,35,35
rec_12_mol81.sdf,0.8703,35,35
rec_11_mol82.sdf,0.4899,34,34
rec_4_mol83.sdf,1.0437,38,38
rec_11_mol84.sdf,0.6532,35,35
rec_19_mol85.sdf,0.6696,34,34
rec_19_mol86.sdf,0.8470,40,40
rec_19_mol87.sdf,0.6455,38,38
rec_2_mol88.sdf,2.3878,36,36
rec_5_mol89.sdf,1.0092,20,20
rec_19_mol90.sdf,0.7257,34,34
rec_12_mol91.sdf,0.6332,34,34
rec_5_mol92.sdf,1.5994,27,27
rec_19_mol93.sdf,0.5330,32,32
rec_2_mol94.sdf,1.4900,36,36
rec_11_mol95.sdf,1.9816,39,39
rec_5_mol96.sdf,1.4211,22,22
