Reference_File,Docked_Complex,Ligand_RMSD_A,Pocket_Ligand_RMSD_A
mers_53.pdb,rec_4_mol53.pdb,4.533638336583505,2.2420108724077195
mers_62.pdb,rec_6_mol62.pdb,5.094326573986362,2.4072489122434018
mers_2.pdb,rec_9_mol2.pdb,3.8679027181747117,1.944411951460055
mers_51.pdb,rec_16_mol51.pdb,5.018625291756775,2.1909328592079564
mers_27.pdb,rec_16_mol27.pdb,3.827654910267356,1.8723221625602529
mers_44.pdb,rec_5_mol44.pdb,3.7333936051651935,2.119280772236104
mers_35.pdb,rec_6_mol35.pdb,3.5419504677007887,1.766235985332079
mers_1.pdb,rec_4_mol1.pdb,3.0563861242579193,1.705971123106329
mers_62.pdb,rec_9_mol62.pdb,4.644599673963265,2.6095231807550046
mers_13.pdb,rec_5_mol13.pdb,4.113437451268042,2.386211700635539
mers_92.pdb,rec_14_mol92.pdb,1.9846025215425853,1.412320260648825
mers_51.pdb,rec_9_mol51.pdb,5.0788790355963265,2.2013927541125162
mers_14.pdb,rec_4_mol14.pdb,4.2846754169445225,1.8713085119648927
mers_61.pdb,rec_18_mol61.pdb,4.405887190724147,2.046259112734325
mers_6.pdb,rec_14_mol6.pdb,5.200568428630741,2.198861658779211
mers_16.pdb,rec_4_mol16.pdb,2.887000731534715,1.4991481050522617
mers_88.pdb,rec_14_mol88.pdb,3.8732042166362666,1.7733233669358366
mers_20.pdb,rec_6_mol20.pdb,4.534037981432551,1.97697480807142
mers_32.pdb,rec_13_mol32.pdb,4.242816709893365,2.5313078782421408
mers_48.pdb,rec_5_mol48.pdb,3.086194049451786,1.4401658361534215
mers_24.pdb,rec_13_mol24.pdb,4.525404858313875,2.503118316074326
mers_74.pdb,rec_6_mol74.pdb,4.168130888651043,2.2649466450570133
mers_59.pdb,rec_1_mol59.pdb,4.572643434205404,2.0353367538111624
mers_6.pdb,rec_13_mol6.pdb,4.91038850437356,2.2202510829074433
mers_81.pdb,rec_16_mol81.pdb,3.1802017491259016,1.60210481997683
mers_45.pdb,rec_9_mol45.pdb,3.924886529671868,2.154447449648152
mers_53.pdb,rec_1_mol53.pdb,4.486785696286691,2.2343691619592376
mers_85.pdb,rec_19_mol85.pdb,4.024364073973058,1.77176937596749
mers_87.pdb,rec_2_mol87.pdb,4.265951285762314,2.4384554738350515
mers_64.pdb,rec_9_mol64.pdb,4.583465397517644,2.5002875478175635
mers_87.pdb,rec_5_mol87.pdb,4.006605095896746,1.8024223467547575
mers_89.pdb,rec_19_mol89.pdb,2.425992522444176,1.4889459997584884
mers_73.pdb,rec_15_mol73.pdb,4.0558722209130185,1.6566096714000098
mers_58.pdb,rec_4_mol58.pdb,3.7950352184468334,1.7236279093113291
mers_24.pdb,rec_20_mol24.pdb,4.4704609898221,1.8645350035842518
mers_53.pdb,rec_12_mol53.pdb,4.9923674876798225,2.582824386467377
mers_5.pdb,rec_9_mol5.pdb,3.707759911797505,1.9165159073037887
mers_73.pdb,rec_2_mol73.pdb,3.992566733336915,1.6972535336501533
mers_25.pdb,rec_19_mol25.pdb,4.8672095347780875,2.1100377283733214
mers_72.pdb,rec_6_mol72.pdb,4.176391367387124,2.290221475546273
mers_86.pdb,rec_5_mol86.pdb,4.668106814178227,2.5452122044860728
mers_7.pdb,rec_9_mol7.pdb,2.8361622265126485,1.4553856162294843
mers_62.pdb,rec_1_mol62.pdb,4.927571916103493,2.276910296269932
mers_50.pdb,rec_4_mol50.pdb,2.7579788530176605,1.4513842156304986
mers_22.pdb,rec_11_mol22.pdb,3.4224070232932218,1.6357058317362696
mers_77.pdb,rec_16_mol77.pdb,3.963996651225698,1.785586418054182
mers_7.pdb,rec_5_mol7.pdb,2.203425836765005,1.4095692219058953
mers_43.pdb,rec_16_mol43.pdb,2.9225920713703837,1.556465965165723
mers_38.pdb,rec_11_mol38.pdb,4.671083365152408,1.9888279949829115
mers_45.pdb,rec_18_mol45.pdb,3.917354395621135,2.1987698071092665
mers_54.pdb,rec_15_mol54.pdb,4.8176868750095565,1.971955608375666
mers_59.pdb,rec_9_mol59.pdb,4.4386308332772355,1.8958120376481278
mers_14.pdb,rec_15_mol14.pdb,4.422221906139665,1.8570579512872716
mers_68.pdb,rec_7_mol68.pdb,4.09431682914481,1.9912998065912695
mers_22.pdb,rec_7_mol22.pdb,3.0663838550634677,1.494290569679763
mers_74.pdb,rec_14_mol74.pdb,3.9937386097026253,1.709346400048588
mers_75.pdb,rec_4_mol75.pdb,4.486775400816004,2.290604964688443
mers_66.pdb,rec_12_mol66.pdb,3.2293046323245442,1.6849014190770406
mers_66.pdb,rec_1_mol66.pdb,2.7383103744579933,1.3770387416354557
mers_43.pdb,rec_15_mol43.pdb,2.922869890638495,1.4655638445545278
mers_92.pdb,rec_4_mol92.pdb,2.8537270289319796,1.703378198518642
mers_26.pdb,rec_14_mol26.pdb,3.2898272237440214,1.639614502129766
mers_14.pdb,rec_13_mol14.pdb,4.738264378674662,2.6019830900233845
mers_93.pdb,rec_2_mol93.pdb,2.397828176643278,1.390345764150235
mers_32.pdb,rec_6_mol32.pdb,4.433211825524645,2.647247539107885
mers_79.pdb,rec_12_mol79.pdb,2.4281164885506907,1.44852890981285
mers_39.pdb,rec_9_mol39.pdb,4.811749369233796,2.267576805139898
mers_27.pdb,rec_14_mol27.pdb,3.78666001594585,1.8727832257773522
mers_83.pdb,rec_14_mol83.pdb,3.963024846202373,1.758737475739534
mers_12.pdb,rec_13_mol12.pdb,2.8784176579215495,1.6570431193742783
