Reference_File,Docked_Complex,Ligand_RMSD_A,Pocket_RMSD_A
mers_0.pdb,rec_11_mol0.pdb,6.015445572644304,1.201995221715957
mers_1.pdb,rec_11_mol1.pdb,4.801238656884248,1.1538844624384619
mers_10.pdb,rec_11_mol10.pdb,5.0491688920852065,1.1665110168778596
mers_11.pdb,rec_11_mol11.pdb,3.9608265116313084,1.4223727280752319
mers_12.pdb,rec_11_mol12.pdb,3.9446013776938003,1.1641761158696868
mers_13.pdb,rec_11_mol13.pdb,5.954689541667906,1.1637564113499066
mers_14.pdb,rec_11_mol14.pdb,4.458463079456132,1.3247316638609667
mers_15.pdb,rec_11_mol15.pdb,3.9925591279925903,1.2610123681852514
mers_16.pdb,rec_11_mol16.pdb,3.5872525935635924,1.2485851981837497
mers_17.pdb,rec_11_mol17.pdb,5.938868994819488,1.1687338203603792
mers_18.pdb,rec_11_mol18.pdb,5.688739246754579,1.1740345495782285
mers_19.pdb,rec_11_mol19.pdb,9.784993540765651,1.23720030077436
mers_2.pdb,rec_11_mol2.pdb,3.5590831847103304,1.2589489878859519
mers_20.pdb,rec_11_mol20.pdb,5.78464460392488,1.1231399861794051
mers_21.pdb,rec_11_mol21.pdb,6.317686239821338,1.1616966410529146
mers_22.pdb,rec_11_mol22.pdb,4.449700886401624,1.1656797870228424
mers_23.pdb,rec_11_mol23.pdb,4.044266298145331,1.1602253718880264
mers_24.pdb,rec_11_mol24.pdb,4.438907388292916,1.2003716802004012
mers_25.pdb,rec_11_mol25.pdb,4.72715544783729,1.284911341296101
mers_26.pdb,rec_11_mol26.pdb,4.394483719286896,1.1277376068806444
mers_27.pdb,rec_11_mol27.pdb,4.8698077974419824,1.259616801912586
mers_28.pdb,rec_11_mol28.pdb,4.350256119371107,1.188665096501309
mers_29.pdb,rec_11_mol29.pdb,4.871043039747622,1.2534868055205788
mers_3.pdb,rec_11_mol3.pdb,4.96796382505368,1.1661977239755532
mers_30.pdb,rec_11_mol30.pdb,3.3228409957716187,1.184259180959595
mers_31.pdb,rec_11_mol31.pdb,5.577414106766259,1.1733751595992532
mers_32.pdb,rec_11_mol32.pdb,6.934459234032707,1.2072532715999418
mers_33.pdb,rec_11_mol33.pdb,3.308081744488308,1.3020077656323166
mers_34.pdb,rec_11_mol34.pdb,6.063872021613004,1.136570277156046
mers_35.pdb,rec_11_mol35.pdb,4.684753917831754,1.2066500948951844
mers_36.pdb,rec_11_mol36.pdb,4.145571279333997,1.1397129216376933
mers_37.pdb,rec_11_mol37.pdb,5.000526203723752,1.2228946075457614
mers_38.pdb,rec_11_mol38.pdb,4.683633902495929,1.3131513594070363
mers_39.pdb,rec_11_mol39.pdb,5.857657813973672,1.1404322862625798
mers_4.pdb,rec_11_mol4.pdb,3.267427404242978,1.2877213721934027
mers_40.pdb,rec_11_mol40.pdb,3.882895948018752,1.1268433248573575
mers_41.pdb,rec_11_mol41.pdb,4.791839249362303,1.184423076315535
mers_42.pdb,rec_11_mol42.pdb,4.741746850399005,1.249641839555396
mers_43.pdb,rec_11_mol43.pdb,6.1194146281193,1.17631048253925
mers_44.pdb,rec_11_mol44.pdb,5.616925023605538,1.1787667141708758
mers_45.pdb,rec_11_mol45.pdb,5.697942404229069,1.1403718684746298
mers_46.pdb,rec_11_mol46.pdb,5.589955381649389,1.15001649894023
mers_47.pdb,rec_11_mol47.pdb,6.410908350568039,1.288413814308625
mers_48.pdb,rec_11_mol48.pdb,3.188520203498126,1.228730037021712
mers_49.pdb,rec_11_mol49.pdb,4.013648022562175,1.1891233577614193
mers_5.pdb,rec_11_mol5.pdb,5.159337207081889,1.1389601688954307
mers_50.pdb,rec_11_mol50.pdb,3.7806130626097163,1.2048289702667072
mers_51.pdb,rec_11_mol51.pdb,6.961826365274612,1.448011148406799
mers_52.pdb,rec_11_mol52.pdb,4.7537269972034535,1.2148285640424588
mers_53.pdb,rec_11_mol53.pdb,5.369753175780476,1.2290903740844454
mers_54.pdb,rec_11_mol54.pdb,4.645932827395107,1.078367653477594
mers_55.pdb,rec_11_mol55.pdb,5.434253179889299,1.1375618855819973
mers_56.pdb,rec_11_mol56.pdb,2.3349141698740423,1.119774957059229
mers_57.pdb,rec_11_mol57.pdb,4.709808240922656,1.1200913851041192
mers_58.pdb,rec_11_mol58.pdb,6.183881618531021,1.1427325914309283
mers_59.pdb,rec_11_mol59.pdb,6.00685473262394,1.2499323918265326
mers_6.pdb,rec_11_mol6.pdb,6.28219387931805,1.1482187065505907
mers_60.pdb,rec_11_mol60.pdb,3.9857183021188307,1.1685144894259103
mers_61.pdb,rec_11_mol61.pdb,5.0864331800678295,1.179518083231956
mers_62.pdb,rec_11_mol62.pdb,7.195018090112834,1.2728636189243128
mers_63.pdb,rec_11_mol63.pdb,5.39582587018441,1.1958913108898614
mers_64.pdb,rec_11_mol64.pdb,4.457723044447727,1.2758380639837454
mers_66.pdb,rec_11_mol66.pdb,4.300653313786519,1.1785060872813566
mers_67.pdb,rec_11_mol67.pdb,5.896894237642344,1.1557675187218655
mers_68.pdb,rec_11_mol68.pdb,6.253606176820535,1.1381958179656653
mers_69.pdb,rec_11_mol69.pdb,4.658656149635677,1.2215178341642157
mers_7.pdb,rec_11_mol7.pdb,3.3798732326334666,1.4317230497006106
mers_70.pdb,rec_11_mol70.pdb,6.199585126095951,1.117157516017067
mers_71.pdb,rec_11_mol71.pdb,6.218122959158552,1.1500703622770545
mers_72.pdb,rec_11_mol72.pdb,5.720506876621106,1.1118610819623354
mers_73.pdb,rec_11_mol73.pdb,5.619133135285868,1.1839829717849957
mers_74.pdb,rec_11_mol74.pdb,5.991937559978893,1.1609106615831652
mers_75.pdb,rec_11_mol75.pdb,6.664777987465056,1.185902059592291
mers_76.pdb,rec_11_mol76.pdb,4.102275168159858,1.2205634752891952
mers_77.pdb,rec_11_mol77.pdb,3.885139800963647,1.1546552503462837
mers_79.pdb,rec_11_mol79.pdb,2.410077157535226,1.3161570822533215
mers_8.pdb,rec_11_mol8.pdb,4.605621663729499,1.1190369806080058
mers_80.pdb,rec_11_mol80.pdb,6.245240444095996,1.1136042300203441
mers_81.pdb,rec_11_mol81.pdb,6.288517568614782,1.1837087263149075
mers_82.pdb,rec_11_mol82.pdb,4.025887974337002,1.1725500044803308
mers_83.pdb,rec_11_mol83.pdb,4.000354153751104,1.2640920469496972
mers_84.pdb,rec_11_mol84.pdb,3.0806778666657832,1.1536491460532674
mers_85.pdb,rec_11_mol85.pdb,5.913454939878963,1.1836006248040136
mers_86.pdb,rec_11_mol86.pdb,4.770265543106866,1.1344460888575316
mers_87.pdb,rec_11_mol87.pdb,4.174320393704469,1.2147459840120645
mers_88.pdb,rec_11_mol88.pdb,4.112009415784429,1.0998234544350818
