N,Iteration,Molecule,LowestRMSD
1,0,mol0,6.253898575990859
1,0,mol1,4.7304236594974585
1,0,mol2,0.5531764371392374
1,0,mol3,2.5400568196681856
1,0,mol4,2.162928669751914
1,0,mol5,5.320809683351925
1,0,mol6,5.494793845263391
1,0,mol7,2.3607375175656666
1,0,mol8,1.8335234681230277
1,0,mol9,6.332480170810983
1,0,mol10,0.8947014750595219
1,0,mol11,4.121977980247209
1,0,mol12,4.392160448695304
1,0,mol13,6.42469627797381
1,0,mol14,7.264694117684069
1,0,mol15,1.1571541917225432
1,0,mol16,3.49043894775428
1,0,mol17,3.8792352722816763
1,0,mol18,4.749042703886051
1,0,mol19,9.843813965998114
1,0,mol20,3.9460465590875238
1,0,mol21,6.303901900342586
1,0,mol22,4.716751296178335
1,0,mol23,1.5844676873203072
1,0,mol24,6.169667652654439
1,0,mol25,6.076417669544285
1,0,mol26,4.083948175524559
1,0,mol27,4.376638273378324
1,0,mol28,1.6033851219313373
1,0,mol29,2.2198140883693567
1,0,mol30,0.9392688172326606
1,0,mol31,6.474883109049434
1,0,mol32,1.8510552951733978
1,0,mol33,3.363314555197001
1,0,mol34,0.8415508135069956
1,0,mol35,4.881296559713512
1,0,mol36,1.1267373254540867
1,0,mol37,5.01844461478521
1,0,mol38,6.262745260666444
1,0,mol39,1.7123761925631709
1,0,mol40,5.439780939733302
1,0,mol41,0.9559154865198184
1,0,mol42,2.6230436237518546
1,0,mol43,1.4125986609594547
1,0,mol44,5.523456668742011
1,0,mol45,1.3139647999199109
1,0,mol46,2.186147088757801
1,0,mol47,5.948331687731672
1,0,mol48,3.2923620325434038
1,0,mol49,4.156302908882438
1,0,mol50,3.117784662880185
1,0,mol51,2.480856682920333
1,0,mol52,1.1218231598607684
1,0,mol53,7.9833131651560905
1,0,mol54,6.284195053863304
1,0,mol55,0.9150073807159732
1,0,mol56,2.12782492064471
1,0,mol57,2.0636957976528425
1,0,mol58,1.1816389305899302
1,0,mol59,1.1856202058416516
1,0,mol60,3.957470618853778
1,0,mol61,1.4312800273982964
1,0,mol62,7.39900955647728
1,0,mol63,5.180372093097287
1,0,mol64,1.2932188232167914
1,0,mol65,4.038132442398706
1,0,mol66,2.2601840902015042
1,0,mol67,5.529144624194882
1,0,mol68,2.2733110123467806
1,0,mol69,5.391675558448187
1,0,mol70,6.67397872307067
1,0,mol71,1.610023883939969
1,0,mol72,1.9998699732732623
1,0,mol73,5.610413557868306
1,0,mol74,0.6210307402167123
1,0,mol75,6.371958992449922
1,0,mol76,0.6672928860384887
1,0,mol77,2.4751120721488493
1,0,mol79,0.8496433334052589
1,0,mol80,1.349061029753658
1,0,mol81,4.047500917744536
1,0,mol82,0.5772187158108727
1,0,mol83,1.081034505267499
1,0,mol84,0.6532314531837635
1,0,mol85,0.8802857853126616
1,0,mol86,0.8470199625746732
1,0,mol87,6.20633912022725
1,0,mol88,3.1290057539185763
