N,mean,lower_95CI,upper_95CI
1,33.28537883098685,23.91304347826087,42.708333333333336
2,50.50475824514496,40.625,60.42220744680843
3,60.30129937381341,50.51546391752577,70.10309278350516
4,66.11052981905257,56.38297872340426,75.0
5,69.80319828093934,60.416666666666664,78.72340425531915
6,72.30196310804243,63.43378607809848,81.05263157894737
7,73.93753858321155,65.26315789473684,82.29166666666667
8,75.19053506596532,66.3157894736842,83.33333333333333
9,76.0938791419649,67.36842105263158,84.375
10,76.83292286146846,68.04123711340206,84.95024021962932
11,77.41194442315609,68.75,85.41666666666667
12,77.88381949191866,69.0721649484536,85.56701030927834
13,78.29091238670885,69.79166666666667,86.3157894736842
14,78.66056791579499,70.10309278350516,86.45833333333333
15,78.92878146581381,70.52631578947368,86.45833333333333
16,79.04855757456231,70.83333333333333,86.5979381443299
17,79.11678568576772,70.83333333333333,86.5979381443299
18,79.11678568576772,70.83333333333333,86.5979381443299
19,79.11678568576772,70.83333333333333,86.5979381443299
20,79.11678568576772,70.83333333333333,86.5979381443299
